MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.2163450687611996e-6,9.562821737696403e-8,0
2.2397140845917162e-6,1.1904016731401069e-7,-0.22
2.3883852408953275e-6,2.677027262493192e-7,0.065
1.814213045633817e-6,-3.065065364205033e-7,0.025
1.5832473845692695e-6,-5.374436659255632e-7,0
1.8785176458278784e-6,-2.4220987457024277e-7,0
2.1556010476901093e-6,3.494601209241832e-8,0
2.1640238087553445e-6,4.336966133222653e-8,0
1.8899926687918824e-6,-2.3067427666334516e-7,0
1.8808153922951042e-6,-2.3988520440443307e-7,0.145
1.9371391479569646e-6,-1.8359451283589401e-7,0
2.4246926448102614e-6,3.0407271029708747e-7,0
2.015059364719542e-6,-1.0564851396777097e-7,0.02
2.269308426098652e-6,1.4859640399211838e-7,0.005
2.2039463700830694e-6,8.329480877922179e-8,0
2.0863121547179177e-6,-3.4421679605545206e-8,0
2.3054771140167645e-6,1.8476888845930795e-7,0.01
2.336931582647587e-6,2.162499027824616e-7,0.12
2.278864519817443e-6,1.582092974244942e-7,0
2.042995582682985e-6,-7.770090111991479e-8,0.07
2.2992436088999502e-6,1.7859322257784972e-7,0
1.8974135185624394e-6,-2.2328575383756543e-7,0.14
2.30372763799564e-6,1.8302170602002566e-7,0.005
1.8972212675330768e-6,-2.2346865156619433e-7,0
2.252215157077129e-6,1.3152014314066207e-7,0.03
2.3887156965847325e-6,2.6802144939830353e-7,0.025
2.2583403721487677e-6,1.3764826834627986e-7,0.045
2.083745460574004e-6,-3.682837417751106e-8,0
2.515337326197395e-6,3.9464805671518554e-7,0.02
1.851606411168633e-6,-2.6908788301249763e-7,-0.49
2.550488784013374e-6,4.297901424354933e-7,0
1.9357715637526155e-6,-1.848926518910332e-7,0
2.142316771688694e-6,2.163358853835007e-8,0.35
2.173444596618817e-6,5.278240329920081e-8,0
2.074164785162514e-6,-4.649546086754608e-8,0
1.7329789569772717e-6,-3.877421548559301e-7,0.01
2.050316585287265e-6,-7.036960548045812e-8,-0.605
1.9018705599172325e-6,-2.1878266106500898e-7,0
1.919020498656629e-6,-2.0168286485267027e-7,0.06
2.001802371230864e-6,-1.1886522999549065e-7,0
2.192118858965193e-6,7.141893729800674e-8,0.04
2.348740491232116e-6,2.2808897361503711e-7,0
2.2376874055941713e-6,1.1703717970046323e-7,0
1.9937724503604495e-6,-1.2691349722870892e-7,-0.235
2.3496537941641563e-6,2.289688760959141e-7,0.07
2.208540393223663e-6,8.795480502310493e-8,0
2.3358684099522666e-6,2.1518017780997044e-7,0.045
2.1062156664210056e-6,-1.4469098160163619e-8,0.325
2.129459388588028e-6,8.770770671406857e-9,0.155
2.006857047129778e-6,-1.1387457561462533e-7,0
1.8687271192227837e-6,-2.519857931732039e-7,0.03
2.037352690172097e-6,-8.335298153583359e-8,0.025
1.9555233949665867e-6,-1.6506776764402264e-7,0
2.1317242526438917e-6,1.1036104287653891e-8,0.15
1.953551672864795e-6,-1.6714799522643543e-7,0.09
1.976378839464549e-6,-1.4431151497684703e-7,-0.655
2.1321819668312507e-6,1.1492277793290206e-8,0.11
2.4438112725608176e-6,3.23138032127801e-7,0.165
1.851761629643687e-6,-2.6894085963680145e-7,0.12
2.3001853775826717e-6,1.795371591306605e-7,0
2.078262684978767e-6,-4.2411175574241786e-8,0
2.3131103195852936e-6,1.9247884048945173e-7,0
2.095486101690617e-6,-2.5184500344610504e-8,0
2.1850975568418094e-6,6.43670370459315e-8,0
1.9665411976673607e-6,-1.5419400722582744e-7,0
2.3098891373765777e-6,1.8922026849998996e-7,0
2.067489921251275e-6,-5.3216868844963014e-8,0.02
2.1196727459940143e-6,-9.79003085266328e-10,0
2.360481405277975e-6,2.3981526695304735e-7,0
2.2741706223717074e-6,1.534431377014922e-7,0
1.8845281856367432e-6,-2.3620584978789604e-7,0.005
2.080016841534211e-6,-4.0717349510943636e-8,0
1.8469701943133346e-6,-2.7371498066419696e-7,0
2.238966897474844e-6,1.182764942941894e-7,0.06
1.9027702843506331e-6,-2.179122709716763e-7,0
1.926502291157683e-6,-1.942017374967353e-7,0.075
2.1242299418319956e-6,3.5434517259291806e-9,0.185
1.8925487860503642e-6,-2.2816824206517427e-7,0.01
2.4863610763144994e-6,3.6568266522762905e-7,0.055
2.452318552203445e-6,3.3165321289940763e-7,-0.465
2.1078986363205684e-6,-1.2801377725080165e-8,0.03
2.3609157175888754e-6,2.40242695096482e-7,0.325
2.398910052246828e-6,2.782128852224508e-7,0.005
1.8496971779992347e-6,-2.710355274870846e-7,0
1.9481916843591455e-6,-1.7256302771717636e-7,0
2.0198299230754367e-6,-1.0087151986026832e-7,0.05
2.2995890346889154e-6,1.788849232009504e-7,0.005
2.230743216480385e-6,1.1009060561895101e-7,0
2.3209334778332592e-6,2.002946420887053e-7,0
1.9015670349660955e-6,-2.1907494163031503e-7,0
2.02639685170213e-6,-9.426308291649033e-8,0
1.6806023202883078e-6,-4.401569636192093e-7,0
1.768470033043409e-6,-3.5225957942364164e-7,0
2.15167737358462e-6,3.0989833226247044e-8,0.135
2.4152803575032665e-6,2.9459673910714467e-7,0.065
2.305995786951767e-6,1.8529639969455668e-7,0.01
2.3050525209733263e-6,1.8435596483290517e-7,0.01
2.1326439407843333e-6,1.1948271720352289e-8,0.065
2.1651172946458585e-6,4.4401820636919e-8,0
2.2491448460843247e-6,1.2847632744561465e-7,0
