MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.1712745811254992e-6,5.059994670486567e-8,0
2.0713900201979914e-6,-4.93241723575899e-8,0.01
1.8535645988369493e-6,-2.671327988607031e-7,0.245
1.9195931617041684e-6,-2.0107290200854776e-7,0
2.284606160111183e-6,1.639338374009869e-7,-0.31
1.931454824484528e-6,-1.892229925637423e-7,0
2.0162270468149765e-6,-1.0447819326575569e-7,0.015
2.2261026707612085e-6,1.0540799312841464e-7,0.035
1.8227304324577207e-6,-2.9791975207082986e-7,0
2.0765811164100663e-6,-4.41432726128177e-8,0
2.1119683676680443e-6,-8.68859143299261e-9,0
1.9922391996683333e-6,-1.2842243131805376e-7,0
2.38411513967319e-6,2.634269050816318e-7,0.035
2.257786514142871e-6,1.3711132666960335e-7,-0.52
1.950098273731772e-6,-1.7051443757354346e-7,0
2.0973417085678135e-6,-2.3309917764335885e-8,0
1.937212198843337e-6,-1.8345194795765795e-7,0
2.2042123501305084e-6,8.350802998324802e-8,0
1.925144467822611e-6,-1.9552457235727517e-7,0
1.800299188317025e-6,-3.203794862455256e-7,0
2.0164457852041644e-6,-1.0421826907025533e-7,0
2.4382510138106754e-6,3.17610907697996e-7,0
1.8750435569050148e-6,-2.4565085821548483e-7,-0.6
2.140355394635765e-6,1.9659245781844527e-8,0.045
2.2134827683326483e-6,9.277065010193653e-8,0
1.874865880998534e-6,-2.458368494884233e-7,0.085
1.8595156321356156e-6,-2.6119413825187456e-7,0.04
1.9033339602550348e-6,-2.1733484615482635e-7,0
2.6302881517982006e-6,5.096049207697905e-7,0.025
2.111976508415077e-6,-8.654798447915725e-9,0
1.9441112823049685e-6,-1.7656765247675565e-7,0
2.121830883769462e-6,1.1282272566193188e-9,0.015
2.3342191685595535e-6,2.1359143807686554e-7,0
1.866349901178165e-6,-2.543564235563123e-7,0.05
1.8718530906845832e-6,-2.488230293862248e-7,0
2.113482554482554e-6,-7.238586096081079e-9,0
2.052980556505758e-6,-6.775086848875844e-8,0
1.9779293642828107e-6,-1.4280356155804697e-7,0
2.1079054609999445e-6,-1.2783243206193618e-8,0.17
2.121361874684998e-6,6.431698673647901e-10,0
1.948529695887631e-6,-1.7218562514520473e-7,0.005
2.4849246782223174e-6,3.642280745980164e-7,0.01
2.4255246361919973e-6,3.0484311201950387e-7,0.07
1.9816140651311557e-6,-1.389930594836164e-7,0
1.7670113768883141e-6,-3.5368565128812703e-7,-0.225
1.8183470726304175e-6,-3.023607914703907e-7,0.055
2.1314700930265135e-6,1.0805149641690548e-8,0
2.454125842829522e-6,3.334954579753413e-7,0
2.284066069838682e-6,1.6334615097313154e-7,0.005
2.5090066723860735e-6,3.883521438996507e-7,0
2.0026071423596463e-6,-1.180853792281944e-7,0.195
2.1485641938057237e-6,2.788629928751618e-8,0
2.3213977035717876e-6,2.0072570146745238e-7,-0.54
1.990253155972778e-6,-1.3039162864936227e-7,0
2.040795172606329e-6,-7.990807517899157e-8,0.03
2.4670411512160156e-6,3.463699857159108e-7,0.19
2.162696028346665e-6,4.2049127221277516e-8,0
2.035380506945829e-6,-8.531628608476894e-8,0.07
2.0641621921698353e-6,-5.655119713621204e-8,0
2.1490941720489114e-6,2.8393907369195224e-8,0.03
2.074244872213953e-6,-4.6410952839748274e-8,0
1.898475044788297e-6,-2.222307784655042e-7,0.035
2.1635941128032898e-6,4.290373423698757e-8,0.075
2.672708214936145e-6,5.520276150772219e-7,0.025
2.038425553226878e-6,-8.22393634769547e-8,0
2.1904680714621127e-6,6.980239527998311e-8,0
1.6208262667078891e-6,-4.999318029186295e-7,0
2.543971093960215e-6,4.2330285101643827e-7,0.205
1.926933574377507e-6,-1.9376178870766925e-7,0.195
2.3985322488183267e-6,2.7785683136105634e-7,0.185
1.7766153136426395e-6,-3.440853099984098e-7,-0.735
2.132318146296347e-6,1.1597848553757117e-8,0.005
1.7486391006938816e-6,-3.720477649171716e-7,0
2.4264691624067437e-6,3.058659901805649e-7,0
1.9541804339259814e-6,-1.664948135426947e-7,0
1.8645315453070658e-6,-2.561479287171986e-7,0
1.86717564495334e-6,-2.5355890822531533e-7,0
2.2296851203171696e-6,1.0911511245270678e-7,0
2.135929302853908e-6,1.5227546001916892e-8,0.015
1.8421795234929472e-6,-2.785033112512325e-7,0
2.5222223684624643e-6,4.0153959490141224e-7,0.04
1.9598443341346087e-6,-1.6080118877548344e-7,0
2.0834498628141753e-6,-3.727673779096996e-8,0
1.9584373192468607e-6,-1.6228702426679397e-7,0.005
2.0653715584388047e-6,-5.533635321963715e-8,0.015
1.899881613451558e-6,-2.208107733631115e-7,-0.535
1.7591052531114061e-6,-3.616263508415818e-7,0.005
1.9979445293081544e-6,-1.2272397142853997e-7,0
2.4023883307076358e-6,2.816948819467369e-7,0.01
1.9576705122440006e-6,-1.6308341078463683e-7,0
1.9701621942307403e-6,-1.5054682661663767e-07,0.03
1.8099265686307323e-6,-3.107635353805094e-7,0
2.44809722660954e-6,3.273898625266725e-7,0
1.7670302349131021e-6,-3.536974562068362e-7,0
1.9513341445396583e-6,-1.6932004360314946e-7,0
1.7293035719372867e-6,-3.9137558328683486e-7,0
1.891300985526512e-6,-2.2938235300251632e-7,0
2.759916804816032e-6,6.392599751164907e-7,0.25
1.8004903079772971e-6,-3.202092777798704e-7,0.3
2.3001634643852696e-6,1.7946286197723093e-7,0.01
