MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.1347166587553744e-6,1.4034342262214673e-8,-0.62
2.0174173465677416e-6,-1.0329789013940883e-7,0.01
1.897489686589631e-6,-2.2319752670418858e-7,0
1.922798094480399e-6,-1.9788271449383555e-7,0
2.309163806330985e-6,1.8848947442640095e-7,-0.635
1.9370994161422626e-6,-1.8358009358010462e-7,0
1.9699962866211086e-6,-1.5072029476093096e-7,0.005
2.1825555189434476e-6,6.185205043529596e-8,0.01
1.7463838898962875e-6,-3.742814191981525e-7,0
2.0470740485392806e-6,-7.365925041247223e-8,0
2.0924573197344307e-6,-2.8201205961031483e-8,0
1.962400966246101e-6,-1.5826575460342606e-7,0
2.4277802943369706e-6,3.0709065751144403e-7,0.025
2.292603759977633e-6,1.7192158039303073e-7,0.16
1.9839348695496316e-6,-1.3668385481002688e-7,0
2.193939714603483e-6,7.32870490671722e-8,0
1.8879544849929446e-6,-2.3270346388104545e-7,0
2.209031497621124e-6,8.833328098201143e-8,0
1.9410574209563684e-6,-1.7959761009878062e-7,0
1.7682252381487586e-6,-3.5244307484139095e-7,0
2.0430921531567487e-6,-7.758253721956709e-8,0
2.612183573616773e-6,4.915330314875233e-7,0
1.8322366136492335e-6,-2.884526079272032e-7,0
2.0968902658440407e-6,-2.380452907235764e-8,0.07
2.249395273170596e-6,1.2868675751509517e-7,0.015
1.9017863829027714e-6,-2.1893077832124686e-7,0.01
1.7542972247263333e-6,-3.664090096788808e-7,0.145
1.972003510179081e-6,-1.486615842255512e-7,0
2.6792323860677534e-6,5.585522008794141e-7,0.03
2.046446229473993e-6,-7.420850459405326e-8,0
2.01633298074863e-6,-1.0434746090914881e-7,0
2.1793741928188626e-6,5.867440028506365e-8,0.015
2.3224429720697045e-6,2.0181147186992822e-7,0
1.9268058491920337e-6,-1.939021975827515e-7,0.02
1.8315598047684211e-6,-2.8912394582691904e-7,0
2.150041976740513e-6,2.931001493733376e-8,0
1.8352570049344609e-6,-2.8549047011661167e-7,0
2.044656855250401e-6,-7.607455338454194e-8,0
2.1421704640752276e-06,2.1480145306895794e-8,0.1
2.1959494770811583e-6,7.5236542923518e-8,0.005
1.988859354460918e-6,-1.3185375420166067e-7,0.005
2.6133296944055195e-6,4.926295746343623e-7,0.005
2.440904487132285e-6,3.2022240303075653e-7,0.055
2.038732495269296e-6,-8.187982211804723e-8,0
1.8276822153177596e-6,-2.9302774800454847e-7,0.035
1.7696174827688688e-6,-3.510985100102504e-7,0.03
2.1180369332997306e-6,-2.647220039841969e-9,0.275
2.4207965761464935e-6,3.001492519516535e-7,0
2.455573496415039e-6,3.348709939454686e-7,0.015
2.454254793628881e-6,3.33615811683452e-7,0
1.949175193988972e-6,-1.7152762731342807e-7,0.045
2.1600212355409865e-6,3.933349001394859e-8,0.14
2.337654587199696e-6,2.1698471754594274e-7,-0.365
1.958143472919954e-6,-1.6252743256062185e-7,0
1.856858056498493e-6,-2.638418323658298e-7,0.15
2.5992465766886424e-06,4.785818338459702e-7,0.205
2.2178806047227897e-6,9.722788595289966e-8,0
2.210916332228754e-6,9.024335210716661e-8,0
2.0833683069934378e-6,-3.734562413315601e-8,0
2.0101465706464553e-6,-1.1056082637239672e-7,0.03
2.0331526167075308e-6,-8.750465587459288e-8,0
1.8404231953666587e-6,-2.802674722474086e-7,0
2.1665134298602863e-6,4.584801336193767e-8,0
2.655299528591282e-6,5.346076354262319e-7,0.02
2.010529042260536e-6,-1.1014756770677536e-7,0
2.130637895863953e-6,9.959931617231632e-9,0
1.5572736149277547e-6,-5.634917358487978e-7,0
2.58099618684792e-6,4.6032564644027383e-7,0.095
1.9214228574779465e-6,-1.9927746025771853e-7,0.09
2.2834265840560692e-6,1.6274693448337097e-7,0.19
1.8498916555315417e-6,-2.7081181900923124e-7,0.1
2.0897929711883957e-6,-3.091849848368966e-8,0.005
1.7940857976934842e-6,-3.2658107567307137e-7,0
2.3923085215686965e-6,2.716734717689295e-7,0
1.8512558628965189e-6,-2.694244022183323e-7,0
1.8193834088903814e-6,-3.012901608745455e-7,0
1.8883612567484962e-6,-2.3236772843882037e-7,0
2.178033742093804e-6,5.7479295302864663e-8,0
2.1752769973676932e-6,5.4569658056724534e-8,0.01
1.8622619219562246e-6,-2.5841243465163365e-7,0
2.509542546634532e-6,3.888491838294206e-7,0.01
1.8926386310462405e-6,-2.2801667302618788e-7,0
2.0457108271059974e-6,-7.50054432319125e-8,0.005
1.9417340841063454e-6,-1.7900459372610643e-7,0.005
2.02683696747263e-6,-9.388265870158286e-8,0
1.9775886760223137e-6,-1.4308392127293513e-7,0
1.812348956770806e-6,-3.0838083058926103e-7,0.005
2.0711871630874658e-6,-4.94752325669312e-8,0
2.419134933907348e-6,2.9843956360742217e-7,0.01
1.8752702275644263e-6,-2.4548201661422907e-7,0
2.083490380506354e-6,-3.721988658111908e-8,0.015
1.9205559968692226e-6,-2.0014767130482892e-7,0.075
2.3058483075681766e-6,1.8513082768123466e-7,0
1.8421720768583665e-6,-2.7854098213264676e-7,0.03
1.8804047419498521e-6,-2.4026521359077347e-7,0
1.841444133881388e-6,-2.792384155803074e-7,0
2.008535605963791e-6,-1.1214714681906379e-7,0
2.7004639810083373e-6,5.798042947147142e-7,0.25
1.751549344579572e-6,-3.6913867523968856e-7,0
2.3181757936275085e-6,1.9746735166248364e-7,0
