MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
1.8300578125639557e-6,-2.906442914218932e-7,0.005
2.1138413107706764e-6,-6.82843013188883e-9,0.05
2.131647610774463e-6,1.0980504561719506e-8,0.065
1.816605768064573e-6,-3.040251224678547e-7,0
2.3949746363335466e-6,2.742993336818378e-7,0.01
1.8115345972159203e-6,-3.0914278941696074e-7,0.105
2.1528474018206143e-6,3.2220951376449316e-8,0
2.3520226861542473e-6,2.314622479809847e-7,0
1.7633376740543014e-6,-3.5727012645592195e-7,0
1.928259082806927e-6,-1.9239694451000932e-7,0
1.97897264733728e-6,-1.4171714419308756e-7,0.01
2.5783895268299746e-6,4.5776182216683556e-7,0
2.1826958258847465e-6,6.202889654194355e-8,0.07
2.3300043481801337e-6,2.094410298397742e-7,0
2.0479710833161207e-6,-7.254016671953689e-8,0
2.0870019827996824e-6,-3.367622802785686e-8,0.01
1.8817343013153986e-6,-2.389362539456652e-7,0.2
1.9102093042511866e-6,-2.1046137156310874e-7,0.16
2.3205377391402846e-6,1.9987845197078081e-7,0.055
2.023076052808734e-6,-9.758222776157232e-8,-0.355
1.9326232493021196e-6,-1.8798597033853336e-7,0
2.3667713225181253e-6,2.4613114609495226e-7,0
1.8882362834201211e-6,-2.3245584526820906e-7,0.01
1.9430544834219137e-6,-1.7758009877522074e-7,0
2.1807267344121725e-6,6.004383587832063e-8,0.01
2.065856465859164e-6,-5.479451402112812e-8,0
2.1368677874161633e-6,1.6245231670986015e-8,0
1.933643210463879e-6,-1.8700059124854286e-7,0
2.278153152195316e-6,1.575017144989088e-7,0.27
1.9633602363111617e-6,-1.572532756810574e-7,0
2.1865014549818528e-6,6.582353046902246e-8,0.005
2.188349426579578e-6,6.770841005976358e-8,0
2.24454461516414e-6,1.2387007334357936e-7,0.025
2.15214922126082e-6,3.1458785846316673e-08,0
2.354477022504262e-6,2.3386665137237195e-7,0
2.132120204256867e-6,1.1447492749283583e-8,0.04
2.0558137877416134e-6,-6.485109487253115e-8,0.14
2.274517188883785e-6,1.538306302156789e-7,0.005
2.1517492050074642e-6,3.113307319169145e-8,0
2.294590941813729e-6,1.73900132982574e-7,0
2.1145315192238796e-6,-6.1247781180107095e-9,-0.62
2.3430178338452652e-6,2.223756354230444e-7,-0.3
2.0607465460302116e-6,-5.994991922109172e-8,0
2.092853352360329e-6,-2.781150147623812e-8,0.105
1.7499408195247082e-6,-3.707542175923617e-7,0.005
2.6151204076266097e-06,4.944382914284784e-7,0
2.475826445213275e-6,3.5514553161308805e-7,0.01
2.1034011901392085e-6,-1.7205301390266216e-8,0
2.0737711523617444e-6,-4.690992101652469e-8,0.01
2.400664509669258e-6,2.7999243929655027e-7,0.01
1.9709653745048603e-6,-1.4970303893857562e-7,0.16
2.215283414521155e-6,9.463830555445085e-8,0
2.0826854789327167e-6,-3.792684017289716e-8,0
2.5061422872645074e-6,3.855321937651368e-7,0
2.0033523940437133e-6,-1.1735296883585989e-7,0
2.0201724189160943e-6,-1.0050804659489376e-7,0.025
2.115622565675923e-6,-4.992770881728781e-9,0
2.101812273906056e-6,-1.8797356282629352e-08,0
2.0939033589921175e-6,-2.6769912384039252e-8,0.02
2.2225066865708996e-6,1.0182939116032407e-7,0.01
1.9820973405335737e-6,-1.3855097441783925e-7,0
2.0772854191534232e-6,-4.3348715749735866e-8,0
2.174115287630878e-6,5.343065548557568e-8,0.005
2.578291799303255e-6,4.576373112252785e-7,0.025
2.034695222533702e-6,-8.595769079022819e-8,0
2.2462331607176993e-6,1.255672088645854e-7,0.04
2.0631170733362596e-6,-5.755431687959334e-8,0.045
2.241845823637968e-6,1.212061857769342e-7,0
1.8827030934510038e-6,-2.3799592149376104e-7,0
2.4339137116632344e-6,3.1327207850373464e-7,0.35
2.0548725461246267e-6,-6.574587284868815e-8,0
2.5815799482932924e-6,4.6087520749638064e-7,0
2.3303485276315053e-6,2.0968077180050225e-7,0.02
2.195247183558239e-6,7.464393644796008e-8,0
2.032002159246666e-6,-8.868217976187865e-8,0.02
2.3572495154514616e-6,2.3661395353868907e-7,0
1.9927402504570803e-6,-1.2793973752756038e-7,0.02
2.4033971629367916e-6,2.827935993138242e-7,0
2.0474404371056336e-6,-7.32047523838153e-8,0
2.1291433751313502e-6,8.595421700507977e-9,0
2.3478047569432407e-6,2.2711893321925025e-7,0.005
2.2404032718988666e-6,1.1973983946034217e-7,0.05
2.2155444194400523e-6,9.491118418858413e-8,0
1.79356894925743e-6,-3.2713059409994473e-7,0
1.9018585152386015e-6,-2.187975124123831e-7,0
2.01240600073141e-6,-1.0827178536565452e-7,0.02
1.9171837233602715e-6,-2.0351227860981868e-7,0.01
2.3609360620300534e-6,2.4030989319301366e-7,0
2.357424283508522e-6,2.3682691177195902e-7,0
2.41211141347111e-6,2.9144340975839624e-7,0.025
1.9600427909111706e-6,-1.6061390982036184e-7,0
2.2018495296749843e-6,8.121533369709333e-8,0
2.1646801048337087e-6,4.3976051513627825e-8,0
2.100651343107137e-6,-2.006954645472625e-8,0
2.2201000986962355e-6,9.953784357918938e-8,0
2.1616404186882567e-6,4.0978049421491744e-8,0.115
1.6337659326056788e-6,-4.868829414439446e-7,0
2.364833785807273e-6,2.441664949254241e-7,0.005
2.084290805514185e-6,-3.63422834886995e-8,0
2.1192636250971613e-6,-1.4115348745402657e-9,0.01
