MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
1.840305183453631e-6,-2.8038370502581065e-7,0.01
1.96683179922917e-6,-1.5384741282653546e-7,0.04
2.0694886178794323e-6,-5.117454884850936e-8,0.185
1.780225166183212e-6,-3.404163696318907e-7,0
2.355928188939292e-6,2.3525139236424409e-7,0.015
1.7446730823087625e-6,-3.760060565699552e-7,0.125
2.1418380135864006e-6,2.12235186392018e-8,0
2.271974966164328e-6,1.5139893410953676e-7,0
1.8874954078359102e-6,-2.3307696124741373e-7,0
1.886460236956991e-6,-2.3421206037044227e-7,0.14
1.972077131437332e-6,-1.4861184408299088e-7,0.015
2.6437368730022404e-6,5.231090739443722e-7,-0.245
2.3360878773637104e-6,2.1541968369565013e-7,0.025
2.26809732093423e-6,1.4753742368367463e-7,0
1.979813554573182e-6,-1.4067316058630207e-7,0
2.011687582666892e-6,-1.0898998768771317e-7,0.03
1.8707778814525217e-6,-2.4989272186970447e-7,0.225
1.9792155685360492e-6,-1.414580312952829e-7,0.065
2.2139891795965705e-6,9.332817511364944e-8,0.09
2.0484511019906875e-6,-7.22001826630736e-8,0
1.958002902109494e-6,-1.626100671492381e-7,0
2.296553213639274e-6,1.758920464245417e-7,0.045
1.9690162047088137e-6,-1.516734215384341e-7,0.005
2.001170306438107e-6,-1.1947771137665873e-7,0
2.11647006653522e-6,-4.225310296090967e-9,0.005
2.069816196440265e-6,-5.0830876990870524e-8,0
2.132711139053961e-6,1.2082852756667428e-8,0
1.7876575788196322e-6,-3.329958618719653e-7,0
2.3758764030039205e-6,2.5521219576829514e-7,0.045
1.9564820164591006e-6,-1.6412284468414474e-7,0
2.272245639838524e-6,1.515814228186807e-7,0.04
2.0946941931469827e-6,-2.5950746251890423e-8,0
2.2893209976795704e-6,1.6865174656099934e-7,0.03
2.1481348908351346e-6,2.7439956352681704e-8,0
2.234948932325028e-6,1.1434314320435401e-7,0
2.080181240611413e-6,-4.0479652423930366e-8,0.225
2.0239731711981907e-6,-9.66969107840665e-8,0.095
2.387525313172653e-6,2.6685391549152724e-07,0.005
2.2179946147725973e-6,9.737151235145181e-8,0
2.3728782965752343e-6,2.5219982190127777e-7,0.005
2.04709152031168e-6,-7.355873204328845e-8,0
2.3480058061573803e-6,2.2736604768980318e-7,0
2.135267804517691e-6,1.458995813885533e-8,0.025
1.9846549248143864e-6,-1.3603206975965064e-7,0
1.8178120096953353e-6,-3.028834599000385e-7,0.005
2.4798981096083268e-6,3.5921743896438765e-7,0
2.4583521228529353e-6,3.376711442959479e-7,0.01
2.0606875545191126e-6,-5.992971863433283e-8,0
2.1186248899533545e-6,-2.0519861643197856e-9,0.02
2.4127257498525127e-6,2.9205453623171175e-7,0.01
2.060508813188598e-6,-6.0167248319698e-8,0.02
2.2811286167458935e-6,1.6047428477383719e-07,0.14
2.003556762079997e-6,-1.1707258933180142e-7,0
2.632155744372407e-6,5.115474407757503e-7,0
1.9464875210745028e-6,-1.7421864476507842e-7,0
2.0140788250242684e-6,-1.065995117432994e-7,0.035
2.17750754379352e-6,5.691415534525568e-8,0
2.1909851581361724e-6,7.039470360459266e-8,0
2.019867012756105e-6,-1.0082597739602406e-7,0
2.3411752273806237e-6,2.2048847120870185e-7,0
1.8913238606970915e-6,-2.2931987135099695e-7,0
2.136252549399532e-6,1.5625938388774683e-8,0
2.134777143780455e-6,1.4091647256297968e-08,0.01
2.4195379292919516e-6,2.9888129040867016e-7,0.055
2.046709690444972e-6,-7.393944519817896e-8,0
2.1230523126895956e-6,2.3959011036245312e-9,-0.68
2.0901822526202593e-6,-3.0493932650643706e-8,0.03
2.2524011566034777e-6,1.3176877851073242e-7,0
1.9948765738645273e-6,-1.258134825266044e-7,0.005
2.3832634153928514e-6,2.626229570712457e-7,-0.31
2.1873873100606483e-6,6.677615522754366e-8,0
2.4243240181246196e-6,3.0361471479056767e-7,0
2.223398194993752e-6,1.0271743464185246e-7,0.01
2.205234678879871e-6,8.462828328559269e-8,0
2.0539606905843994e-6,-6.672076076019718e-8,0.025
2.374195846880999e-6,2.5357203637277336e-7,0
1.8674223024606848e-6,-2.5327012686315873e-7,0.005
2.466835425234374e-6,3.462543845639265e-7,0
2.0488008311979392e-6,-7.185417968458286e-8,0
2.098154880356796e-6,-2.2403000802806438e-8,0
2.305697522825449e-6,1.8502227908723246e-7,0.015
2.2861111222400804e-6,1.6545097986431223e-7,0.075
2.108695679711747e-6,-1.1960728734661253e-8,-0.625
1.8775711256351773e-6,-2.4311062997217636e-7,0.025
1.9666218477198625e-6,-1.5403337617014846e-7,0
2.0169156520015943e-6,-1.0375723741684606e-7,0.04
2.067231804990907e-6,-5.345050751448532e-8,0.015
2.3502155926031927e-6,2.2958043785548111e-7,0
2.3171153053416064e-6,1.9649538214927542e-7,0
2.279851680096235e-6,1.591810201095889e-7,0.035
1.893463026296245e-6,-2.2718308679392506e-7,0
2.1700983242625023e-6,4.945606754069853e-8,0
2.204903078902139e-6,8.41930224704246e-8,0
2.026516161816598e-6,-9.420650688651833e-8,0
2.1795433398392303e-6,5.8968623023458735e-8,0
2.01544200077718e-6,-1.0523963926478697e-7,0.015
1.8901006290914452e-6,-2.3053205515488617e-7,0
2.424670104739991e-6,3.040052175196095e-7,0.01
2.0339192657776686e-6,-8.672163206546735e-8,0
2.1899598176881406e-6,6.931314579183834e-8,0
