MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.1560828196505095e-6,3.5413872795930775e-8,0
2.18887078633758e-6,6.812806776390624e-8,0.015
2.2411159670478515e-6,1.203900076779396e-7,0.18
2.157746984944322e-6,3.700782253812651e-8,0.045
2.0292128087141143e-6,-9.150651394396193e-8,0
1.7047968493619603e-6,-4.1596784073838486e-7,0.015
2.1435834574018554e-6,2.282784879958921e-8,0.02
2.012935460595798e-6,-1.0782945615850359e-7,0
2.2217199443924784e-6,1.0097187763513649e-7,0.015
2.0502319965663384e-6,-7.042216528974077e-8,0
2.0943225077682987e-6,-2.640805321474371e-8,0.26
1.915790953407117e-6,-2.0498372543586996e-7,0
2.4594129673739327e-6,3.3875431214525076e-7,0
2.1946401218475974e-6,7.39225478074701e-8,0
1.7986551945595404e-6,-3.220098183398523e-7,0
2.0192699233308855e-6,-1.0149456441843618e-7,0.005
2.0196070662500633e-6,-1.0109093537935542e-7,0
2.7175801499319945e-6,5.968438457382152e-7,0.005
2.0105115469812125e-6,-1.1020444744103131e-7,0
2.120151987120277e-6,-5.959074089734175e-10,0.015
2.2785303098453054e-6,1.5779819711680965e-7,0.065
1.9842783607307616e-6,-1.364484775845387e-7,0
2.264562252580002e-6,1.438566362943483e-7,0
2.216846430126851e-6,9.609106470853667e-8,0
2.1245758157530275e-6,3.855842546918176e-9,0
2.1518257854633026e-6,3.1126775438816704e-8,0
1.9937869663756445e-6,-1.2696039584869644e-7,0.03
2.4211163715906867e-6,3.0037848995689843e-7,0.005
2.0287219350666532e-6,-9.198557566481025e-8,0
1.9127177917748727e-6,-2.0798629344453978e-7,0
1.9007593045631537e-6,-2.1996192769546675e-7,0
1.7178396682211103e-6,-4.029154974027893e-7,0.095
2.4602026539861996e-6,3.395096271285869e-7,0
1.6202113989850072e-6,-5.005663597235088e-7,0
2.424722742392106e-6,3.039882634747748e-7,0.02
2.3676131954621714e-6,2.469387697301428e-7,0
2.1442964935519604e-6,2.354255365044633e-8,0.005
1.9094569422050624e-6,-2.1129140467479602e-7,0.075
1.9161102724545854e-6,-2.045873785455621e-7,0
2.192046951755588e-6,7.128734116956803e-8,0.005
1.6184945765536799e-6,-5.023024333594694e-7,0
2.2763645367239138e-6,1.555941363728941e-7,0
1.9418913686152238e-6,-1.7880271167503015e-7,0
1.952230453064665e-6,-1.685026437781012e-7,-0.26
2.0462077695798607e-6,-7.448845659674408e-8,0
2.4089327176906905e-6,2.882547630816967e-7,0
2.0852657365143514e-6,-3.541098462511716e-8,0
1.8374318271931618e-6,-2.8330570547130395e-7,0
1.899676968256128e-6,-2.2106680426126068e-7,0.16
2.0030023614687443e-6,-1.1774321812763056e-7,0.06
1.926513829102845e-6,-1.9423094681003672e-7,0.095
2.144047054724054e-6,2.3285065838818396e-8,0
1.8425932125868546e-6,-2.781376230281962e-7,0
2.041042677226287e-6,-7.96652216022986e-8,0
2.1260661303678787e-6,5.362777494855031e-9,0
1.8490179004336632e-6,-2.7171638380618643e-7,0
2.1482439263682843e-6,2.7520367454902937e-8,-0.255
1.86173393667458e-6,-2.590017536779898e-7,0
1.96017274345446e-6,-1.6055180486862498e-7,0
2.236201581242444e-6,1.1549444921876705e-7,0
2.373404430729021e-6,2.52674371860051e-7,0.045
2.4605556533198707e-6,3.3985880883991013e-7,0
2.117669291663812e-6,-3.0775095616331074e-9,0.03
2.1388425489355427e-6,1.814041577341552e-8,0
2.5806554983660777e-6,4.5994347065703156e-7,0.17
2.1676630408056742e-6,4.703283676688041e-8,0
2.089434865587091e-6,-3.135284154409668e-8,0
2.2835286030839223e-6,1.6275961333356293e-7,0
1.992761816920238e-6,-1.2792905859482228e-7,0
2.2381379180037027e-6,1.1743131304753352e-7,0
2.0349471451238485e-6,-8.581036628985128e-8,0.01
2.4582454972642245e-6,3.3750766237683474e-7,0.01
1.8420087239063438e-6,-2.787329814246675e-7,-0.66
2.620280582864431e-6,4.995970074872514e-7,0
2.157501198613642e-6,3.675979295736376e-8,0.035
2.164737243560167e-6,4.397575255610242e-8,0
2.4902847399482037e-6,3.6958674241305276e-7,0
2.1122705052704163e-6,-8.450375105217844e-9,0
2.1285604161414746e-6,7.798202106279462e-9,0
2.0780464974111734e-6,-4.2626006903079274e-8,0
2.387206532346097e-6,2.664509439909146e-7,0.005
2.0953532249645266e-6,-2.5422387116558197e-8,0
2.171755846603682e-6,5.098816280635354e-8,0.005
2.0098031030049807e-6,-1.1092846199822759e-7,-0.465
1.848001490826415e-6,-2.727681800318571e-7,0.005
1.924446235579987e-6,-1.9624605407220218e-7,0
2.2403170911862247e-6,1.1958899735819985e-7,0.145
2.3985556105658294e-6,2.7784131875097096e-7,-0.62
1.8983499007882148e-6,-2.2236810614750802e-7,0
1.9539650284937482e-6,-1.667801681054515e-7,0.095
2.07998747295808e-6,-4.070796840782709e-8,0
2.0699868045056804e-6,-5.074017151052157e-8,-0.13
1.986595500869911e-6,-1.341627068973672e-7,0.01
2.298695945999715e-6,1.7799892429615217e-7,0
2.294187619934174e-6,1.7344560214738182e-7,0.015
2.160894721682459e-6,4.0139051514231915e-8,0.005
2.1718144933185857e-6,5.105909543723364e-8,0.01
2.4399212520325304e-6,3.191940266239479e-7,0.075
2.149580102701995e-6,2.885433468380327e-8,-0.59
2.1369069948836243e-6,1.6123252870592354e-8,0
