MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.340435163622027e-6,2.197007257764838e-7,-0.555
2.283358840899852e-6,1.6259110178939995e-7,0.005
2.5373898556309377e-6,4.1663961388271885e-7,0.025
1.9448481774126954e-6,-1.758776612931223e-7,0
2.177665286682107e-6,5.690567732641316e-8,0.06
2.074590319518289e-6,-4.6137714274641083e-8,0
2.0550218152407063e-6,-6.578106679033801e-8,0
2.221131087551828e-6,1.0039363405101031e-7,-0.04
2.127957795318154e-6,7.197181672857766e-9,0.04
2.286647370917488e-6,1.6599554429452822e-7,0
2.197183225483738e-6,7.646629910595948e-8,0
2.168942594204481e-6,4.8213967381860456e-8,0
2.100159993878603e-6,-2.0600834645390087e-8,0.035
2.3520163625276163e-6,2.3124065927415673e-7,0.005
2.113324137177669e-6,-7.455536640277317e-9,0.01
2.297260269075437e-6,1.765377712836802e-7,0
2.3516219708001174e-6,2.3091250559492683e-7,0
2.2992450737377643e-6,1.7852072955903964e-7,0
2.3411734846741765e-6,2.2042176741898788e-7,0.035
1.9642211807566066e-6,-1.5654898787409445e-7,0.03
2.130221365937569e-6,9.463902524431411e-9,0.08
2.26971106365118e-6,1.4896216470605683e-7,0.11
2.105575560483284e-6,-1.512344615428596e-8,0
2.111407753339578e-6,-9.327925660773673e-9,0
1.9286226838021494e-6,-1.9211064005042468e-7,0
2.348399280823692e-6,2.277244085502339e-7,0
2.101087440897112e-6,-1.9626540035400098e-8,0
2.42117492651881e-6,3.0040131126507494e-07,0
1.7983131755615818e-6,-3.2246953310388626e-7,0.01
2.0226520352672384e-6,-9.808995869609039e-8,0
1.9185428034071106e-6,-2.0224896063958387e-7,0.005
2.1551191435802756e-6,3.4360200411587274e-8,0.06
1.9070368259713437e-6,-2.137832668736017e-7,0
2.068184176181135e-6,-5.255901482148495e-8,0
2.134983810785063e-6,1.4243865770757758e-8,0
2.0969319830976873e-6,-2.3804799345050752e-8,0
1.8619824858334425e-6,-2.58769944212478e-7,0
1.9876033572891724e-6,-1.33133110920558e-7,0
2.21702265778798e-6,9.629131887678444e-8,0
2.1956698017286343e-6,7.487776960690695e-8,0.005
2.155829837741859e-6,3.506128013475163e-8,0.01
1.945205015392193e-6,-1.756046184675508e-7,0
2.1635249170350627e-6,4.275262405706304e-8,0.01
1.7259105937397957e-6,-3.9483650952854e-7,0
2.084251218414429e-6,-3.6466350103459e-8,0
2.3027430573016545e-6,1.8200413798741266e-7,0.3
1.7923448044790802e-6,-3.2833637207185794e-7,0
2.1564759187340647e-6,3.572494317427566e-8,0.125
1.8352244279280648e-6,-2.855370557436343e-7,0.275
1.997852594280676e-6,-1.229187530010778e-7,0.015
2.0947749819290838e-6,-2.598890099847484e-8,0.02
2.014309674214238e-6,-1.0640104297632291e-7,0
2.324598049450141e-6,2.0384895842828765e-7,0.06
2.061586403038559e-6,-5.9185389577609546e-8,0.005
2.0391627590767403e-6,-8.154289905470958e-8,0
2.12938625424337e-6,8.625297510111984e-9,0.045
2.303073307549732e-6,1.823199242007023e-7,0.05
2.248763100673328e-6,1.280534682884804e-7,0
1.9968955655707967e-6,-1.2386037111955517e-7,0.205
1.9042538782984803e-6,-2.1642185903447686e-7,0
2.080441892374474e-6,-4.0283512193761694e-8,0
2.2905062093104815e-6,1.6974998907848259e-7,0.03
2.1703424815821916e-6,4.961058001851093e-8,0
2.1001695041374753e-6,-2.0580186379515196e-8,0.215
2.000618099084588e-6,-1.201331792943794e-7,-0.625
1.858240771230072e-6,-2.6246872570134807e-7,0
2.2441225454212843e-6,1.2341388776149208e-7,0
1.9501709774642508e-6,-1.705729743750606e-7,0
2.092092390713668e-6,-2.863520416729326e-8,0
2.081094802453366e-6,-3.9589323987954115e-8,0
2.243067683860337e-6,1.223257355231766e-7,0.295
2.3148543810244687e-6,1.9410341828673961e-7,0.05
1.8318753608831756e-6,-2.8888843332353087e-7,0.16
1.6935618108540192e-6,-4.272161437568478e-7,0.035
1.9794803807901355e-6,-1.412695469532599e-7,-0.315
1.9663893124338525e-6,-1.5439934364369634e-7,0
2.315301744094063e-6,1.9458426460117194e-7,0
1.7733714749861097e-6,-3.4736921681544077e-7,0
2.330747262488205e-6,2.099818588596758e-7,0
2.038472795838124e-6,-8.228629640671947e-8,0.105
2.5105207429792366e-6,3.8981003288973694e-7,0
2.191361052544266e-6,7.059871782844063e-8,0.025
1.923980071501567e-6,-1.9678254268851169e-7,0.09
2.3119389520366885e-6,1.911841690882543e-7,0.04
2.084582271406584e-6,-3.621163631839508e-8,0
2.1844208898059722e-6,6.365159567145451e-8,0.005
2.039936788166084e-6,-8.084076937531214e-8,0
1.9116283820800974e-6,-2.090975040885956e-7,0
2.342040370926695e-6,2.2132513906314433e-7,0
2.0976780393364943e-6,-2.309970038472109e-8,0
2.298041431984727e-6,1.7735930312623439e-7,0
1.89268484778376e-6,-2.2813949378641675e-7,0
2.5900139997650806e-6,4.6932066312566077e-7,0
2.1027179134845916e-06,-1.803389439836156e-8,0.175
2.201431202166526e-6,8.063224099852384e-8,0
2.255104170738539e-6,1.343292430189269e-7,0.01
1.8783322606298183e-6,-2.4245637095243744e-7,0
1.9427011642114305e-6,-1.7804155204415029e-7,0
2.513080935607647e-6,3.924492395562806e-7,0
2.124668829072262e-6,3.9172977728263445e-9,0.16
