MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
1.1354066404805458e-4,9.956232087305894e-6,0.075
1.1208261394657912e-4,8.531202843818919e-6,0
9.470563415851186e-5,-9.013158011772493e-6,0
1.0435462975856596e-4,8.098979937865014e-7,0
1.0485277004346236e-4,1.2950306783815479e-6,0
1.0108289778671779e-4,-2.5293587028274447e-6,0.07
1.1891968493601646e-4,1.538849399541964e-5,0
1.0156218561093535e-4,-1.9567203381060105e-6,0
9.865565864394406e-5,-4.905252412354954e-6,0
1.0930752485588899e-4,5.676843256527397e-6,0.005
1.249193624650188e-4,2.14634206248665e-5,0
1.1103014730185822e-4,7.427449637761874e-6,0.035
9.440930035575367e-5,-9.264725758154623e-6,0
1.0154326921045686e-4,-2.065641537873364e-6,0.085
9.624519938788794e-5,-7.159522590979294e-6,0
9.55099914106668e-5,-8.169084777310264e-6,0.005
1.0269452221658453e-4,-9.727233262613045e-7,0
9.514137727529884e-5,-8.445244133660768e-6,0
1.0270548952601324e-4,-8.994214326729644e-7,0.095
1.1168856571340963e-4,8.044805513333642e-6,0.005
1.2993535729764478e-4,2.6340564271881694e-5,0.02
9.624969303488621e-5,-7.4437173196817415e-6,0
8.965477241613436e-5,-1.396261583538172e-5,0.275
1.0717644797732657e-4,3.5580295998999255e-6,0.03
9.74318506567229e-5,-6.2644912700005055e-6,0
1.0913745616465116e-4,5.577450362986292e-6,-0.02
9.43484154673354e-5,-9.340852111890951e-6,0.005
8.801927040373721e-5,-1.5583168842551732e-5,0
1.2152740620266196e-4,1.8070458011642533e-5,0
1.1375633873043373e-4,1.016335287740533e-5,0.06
9.194071859169658e-5,-1.1577101741803709e-5,0
8.121782386646313e-5,-2.237690228677258e-5,0
1.1472067718182259e-4,1.1100165058245404e-5,0.01
9.35132704806107e-5,-1.0066101728961607e-5,0
9.284561635283874e-5,-1.0772791325323605e-5,0.15
9.011426394905818e-5,-1.36404257759426e-5,0
1.0339618270991551e-4,-1.4450798544674017e-7,0
1.098654024133761e-4,6.2672217560194585e-6,0.07
1.2057330540576745e-4,1.7048616473476776e-5,0
1.1359078207645485e-4,9.942912591883735e-6,0.005
8.628462452799588e-5,-1.7359223931880384e-5,0.05
9.588902839244819e-5,-7.756983058591072e-6,0.015
1.083885910560849e-4,4.908851051060315e-6,0
1.0551447180087321e-4,1.984409910528173e-6,0
9.646634498848313e-5,-7.175952242096107e-6,0.015
1.151951245320033e-4,1.1682791621209222e-5,0
1.0661527824397759e-4,3.0893406340648523e-6,0
1.1932440864670136e-4,1.5665904567148114e-5,0
1.0838963577920203e-4,4.724143106968892e-6,0
1.2047581293557354e-4,1.6786039840785972e-5,0
1.1108103383017013e-4,7.505448409413917e-6,0.175
1.1328192919069447e-4,9.679538760661855e-6,0.015
1.220978562885216e-4,1.8437531066373135e-5,0
9.043811127767821e-5,-1.3146697358867866e-5,0
1.081480595538769e-4,4.64077461504897e-6,0
9.083217762765418e-5,-1.2812152823729605e-5,0.04
9.75797311118433e-5,-6.066908181021069e-6,0.025
1.1515771366762144e-4,1.1632277298949112e-5,0
1.0333540226156294e-4,-2.889397498445634e-7,0.05
9.37428439112326e-5,-9.871076865068939e-6,0.2
9.224165964639725e-5,-1.1297642001675822e-5,0
9.863121034135443e-5,-4.9371623092037134e-6,0
1.0538941535903599e-4,1.79777160287109e-6,0.165
1.1618197458040714e-4,1.2547455283789532e-5,0.005
1.1301617371872872e-4,9.317877061758573e-6,0
1.035440403612613e-4,-8.552725414945338e-8,0.015
1.099868826740158e-4,6.571190114139646e-6,0
9.997997260239287e-5,-3.6909944693147567e-6,0.005
9.754193110794067e-5,-6.058439577251162e-6,0.285
9.912230257709049e-5,-4.499612224485583e-6,0.045
9.949905320166899e-5,-4.046994000221349e-6,0
1.0993199594027238e-4,6.318395084972672e-6,0.015
8.237273580041096e-5,-2.12652552135989e-5,0.19
9.624931483109436e-5,-7.3341830444551006e-6,0
1.2429060408820962e-4,2.0723013224787647e-5,0.065
9.65759521308753e-5,-7.016131735105291e-6,-0.375
9.57045059806935e-5,-7.939200906690313e-6,0.03
9.520725482257565e-5,-8.411584547924345e-6,0.1
1.2362881886428817e-4,1.9988002733349885e-5,0
9.867019552989779e-5,-4.971022707325745e-6,0.005
1.0486338599777399e-4,1.3073957976555972e-6,0
1.190145752209414e-4,1.5476388231437377e-5,-0.25
1.1548360752691683e-4,1.1844449501040023e-5,0.005
1.0324822346627708e-4,-3.0851561696410014e-7,0
9.122861332684047e-5,-1.2371692920869482e-5,0
1.0268089644509368e-4,-9.043008055481527e-7,-0.64
1.0920024086367087e-4,5.658198117036162e-6,0
1.0431266125133322e-4,7.78700753862882e-7,0
1.0842932666595063e-4,4.7884514250617905e-6,0.015
1.1567558430207132e-4,1.2103981404524844e-5,0.135
1.1543616029405552e-4,1.1863824968137426e-5,0.12
1.1220108052390032e-4,8.628351593421569e-6,0.175
1.0978980597936548e-4,6.134334754044346e-6,0.01
1.0230231488672471e-4,-1.2925885572678818e-6,0.185
1.2169383188141373e-4,1.819543177391192e-5,0
9.643494498340247e-5,-7.1142443508276365e-6,0
9.922656519013725e-5,-4.355123323031007e-6,0
1.0337844345719313e-4,-8.848392166971309e-8,0
9.341006297267275e-5,-1.0076475571159648e-5,0
1.0040849862970913e-4,-3.136389509185711e-6,0
