MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
4.268364566933238e-6,4.793826977134152e-7,0.075
3.9764348726964085e-6,1.8761704762393362e-7,0
3.928192452523329e-6,1.3913156653333482e-7,0.005
3.8139671455897094e-6,2.502277911597961e-8,0
4.126358521617867e-6,3.3748812029887885e-7,0
3.5432511275353607e-6,-2.4568272704916794e-7,0
3.8845887764975344e-6,9.544686752627207e-8,0
4.106969164444685e-6,3.1799170791213527e-7,0.135
4.0879985368004295e-6,2.98867399944891e-7,0
3.63421531217438e-6,-1.54873431862379e-7,0.005
3.5129055894663743e-6,-2.7610099210373384e-7,-0.715
3.651132398081299e-6,-1.3793162996600383e-7,0.01
3.5744785911176573e-6,-2.1453051362418928e-7,0.21
3.423217433658106e-6,-3.657196890410885e-7,0
3.5232988361871572e-6,-2.655964456138582e-7,0
3.874404614049435e-6,8.569190084350975e-8,0
3.990467518722571e-6,2.0141344516944048e-7,0.005
3.987078272946303e-6,1.980011057756137e-7,0
3.942591215793994e-6,1.5355589858268016e-7,0.02
3.6457016899163225e-6,-1.4339259966966723e-7,0
3.526368904112124e-6,-2.623524832134905e-7,0
4.150270452591298e-6,3.613958865461564e-7,0
3.754365563958262e-6,-3.4652799034140535e-8,0.085
4.430689224733114e-6,6.417247916129521e-7,0.085
3.7723097353382276e-6,-1.678521675596567e-8,0.005
2.951137324646126e-6,-8.377178280943865e-7,0
3.511367965245207e-6,-2.7755204956680937e-7,0
4.021850929751955e-6,2.3292761144710904e-7,0
4.21652624465143e-6,4.2758142814181e-7,-0.585
3.5628837149464422e-6,-2.2608725937012242e-7,0
3.4049045810199516e-6,-3.840988619580044e-7,-0.15
3.8455677778270705e-6,5.659282092285167e-8,-0.595
4.151345275428935e-6,3.624123213974428e-7,0
3.996600849230884e-6,2.0757185189734794e-7,0.025
3.6030310642920105e-6,-1.8606625476647044e-7,0.01
3.4354457274771973e-6,-3.535938977616837e-7,0.07
4.216431457111052e-6,4.275086766070135e-7,0
3.3922192619412664e-6,-3.9683830673820085e-7,0.035
3.2144184194823866e-6,-5.744476039959423e-7,0
3.925982890230577e-6,1.3691067036303294e-7,0
3.982303092505532e-6,1.9343051796183453e-7,0
4.1671777411915075e-6,3.783885204844406e-7,0
3.7767531872696217e-6,-1.2268059041975477e-8,0.06
3.732889219563621e-6,-5.6172411181387715e-8,0
4.241944212040839e-6,4.5291618441412053e-7,0.015
3.7206271159457947e-6,-6.841514826549933e-8,0.01
4.230215486969516e-6,4.412420632271541e-7,0.09
3.478950653452821e-6,-3.100168204106524e-7,0
3.63324618266656e-6,-1.557385846800985e-7,-0.265
4.3166578137928235e-6,5.277156455779641e-7,0.28
3.823353213902363e-6,3.442888866778127e-8,0
3.775288016674333e-6,-1.3591588393646602e-8,0
2.7825791649123265e-6,-1.0066034555733517e-6,0
3.760040658500619e-6,-2.9045443472597297e-8,0
4.254289040486936e-6,4.6543220072692293e-7,0
3.2414855405988598e-6,-5.475823197725882e-7,0.04
4.102526080312573e-6,3.1354966491314863e-7,0.13
3.330526077346061e-6,-4.585055093114798e-7,0.21
3.97644629185044e-6,1.8738953039609818e-7,0.01
3.567740309169895e-6,-2.2135999167560704e-7,0.005
4.716543948062012e-6,9.276569439709004e-7,0
3.732439386053946e-6,-5.649518610928439e-8,0
3.64852302244488e-6,-1.4059821060730115e-7,0
3.483622888711119e-6,-3.054475175207072e-7,0.015
3.708756901593533e-6,-8.02879651695676e-8,0.025
3.752631336202057e-6,-3.642039455187263e-8,0.015
3.5684526064256074e-6,-2.204736882921443e-7,0
3.992718349037054e-6,2.0379284228544403e-7,0
3.267190080246673e-6,-5.218058425338068e-7,0
3.676892022222263e-6,-1.1215869526348676e-7,0.03
3.8253038995908685e-6,3.6250658170255967e-8,0.015
3.649382208960509e-6,-1.3963571372177518e-7,0.115
3.4532959498527124e-6,-3.354165095609263e-7,0
4.2559190699079675e-6,4.6684529760310235e-7,0
4.0641516448371925e-06,2.7530158493827005e-7,0
3.014425502383435e-6,-7.748042756927642e-7,0
3.4890306274540696e-6,-2.9997859051222876e-7,-0.675
3.5226443709935796e-6,-2.664027863985563e-7,0.03
3.7247066874167067e-6,-6.430768972109923e-8,0.085
3.715474886011571e-6,-7.362421529877316e-8,0.005
4.1920061707716834e-6,4.0316836671772106e-7,0
4.526759744305977e-6,7.377840504574351e-7,0.03
3.546888658725251e-6,-2.421078532655052e-7,-0.525
3.966574427110071e-6,1.7780042235904238e-7,0
3.7815360461839834e-6,-7.410742701163819e-9,0
4.0835629310155884e-6,2.9472451262335663e-7,0
4.193755425706741e-6,4.0485912430388015e-7,0
3.0868027737313287e-6,-7.023696924424172e-7,0
3.663983526477092e-6,-1.251219862680175e-7,0.005
4.127388287984371e-6,3.383812107832229e-7,0.03
3.1133707229106583e-6,-6.75782606691655e-7,0
3.2753342247973293e-6,-5.137332046828424e-7,0.045
4.254889657227827e-6,4.658984330668803e-7,0.05
4.0441690967143815e-6,2.552276610279236e-7,0
3.416782601645038e-6,-3.7231921324598625e-7,0.005
3.4536251553243676e-6,-3.353561145769124e-7,0
3.539697777854841e-6,-2.494261777608031e-7,0.005
3.3653538069059017e-6,-4.2351147557295745e-7,0
3.6652644041107376e-6,-1.2362222427342307e-7,0
4.226078456651465e-6,4.371872022562728e-7,0
