MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
4.272445438328557e-5,-6.847139629736487e-6,0
5.860331273578372e-5,9.056199022807188e-6,0.01
6.319325462320253e-5,1.3675755069780249e-5,0
4.729124019611894e-5,-2.248681879928327e-6,0
3.9204926945548204e-5,-1.0375054631289738e-5,0
4.581030996260774e-5,-3.7266711600986156e-6,0
5.149964259634292e-5,1.957371830803023e-6,0.275
5.407155454007068e-5,4.5326160701608665e-6,-0.655
3.796033487427866e-5,-1.1601634263708748e-5,0.065
5.519166410484009e-5,5.652455400161349e-6,0.27
4.791787006016407e-5,-1.6336924264415131e-6,0.065
5.053536029000747e-5,9.924885736206646e-7,-0.635
4.328535864325545e-5,-6.277906042261306e-6,0
4.70861132905103e-5,-2.4683627376426153e-6,0.04
4.885542449375496e-5,-7.103738480357391e-7,0.005
5.095731044573659e-5,1.4353094069458062e-6,0
4.773664735829992e-5,-1.8183103741881145e-6,0.04
5.182758720809237e-5,2.289036449698578e-6,0
5.5761021653390375e-5,6.201884334653407e-6,0
4.951052730165965e-5,-2.47936986985664e-8,0
4.861928908726605e-5,-9.056660904754876e-7,0
5.441164592850702e-5,4.888738807946602e-6,0
4.8916022997283105e-5,-6.013683501349121e-7,0
4.8504927015932484e-5,-1.0424649082318994e-6,0.14
5.458541109935697e-5,5.078701529041551e-6,0
4.956150032421304e-5,1.1550287216666177e-8,0.07
5.4147635653056485e-5,4.608884602382845e-6,-0.635
5.497989580500258e-5,5.447133071106447e-6,0
5.1043565809348924e-5,1.5226780703586629e-6,0
5.243031456518777e-5,2.879046990282852e-6,0.02
4.185378195402652e-5,-7.683292111244077e-6,0
5.0293919935872644e-5,7.414682049533549e-7,0.03
4.70583314948664e-5,-2.482307844833831e-6,0
5.41967993464168e-5,4.6460659080960195e-6,0.025
4.979064441617891e-5,2.5957246898078437e-7,0
5.274527387313751e-5,3.1976503325970017e-6,0.06
5.2936843812583286e-5,3.376773121853138e-6,0.005
4.587543924558322e-5,-3.5981236459109446e-6,0
5.474052161191055e-5,5.240155704145932e-6,0
5.353797593258164e-5,3.990872010374291e-6,0.06
4.716548735269503e-5,-2.3837764339201818e-6,0.145
4.642005060069397e-5,-3.1168979842649545e-6,0
4.341319873689556e-5,-6.125408276647093e-6,0
4.5106421142296666e-5,-4.455600962138262e-6,0.01
4.088654030717357e-5,-8.646772719170803e-6,0
5.031377369241477e-5,7.583996605847742e-7,0.01
4.517908951992349e-5,-4.383692794046601e-6,0
5.9733162041315355e-5,1.0207378231339436e-5,0
4.879463409740726e-5,-7.556977180961377e-7,0.075
5.477256744751227e-5,5.217630540096385e-6,0
4.599239110205742e-5,-3.5659915376295983e-6,0.015
5.156223694006956e-5,2.014575030074295e-6,0.06
5.362118452600191e-5,4.0735257046170535e-6,0.045
5.1835335321002005e-5,2.282228457673452e-6,0.01
5.270953037555338e-5,3.17478089339962e-6,0
4.222293073453758e-5,-7.326624584151897e-6,0
5.412186790014835e-5,4.56247746909555e-6,0.005
4.998150652474431e-5,4.4253533671378965e-7,0
5.039758287060543e-5,8.680213768869072e-7,0
4.5578262968773184e-5,-3.986937270963331e-6,0
4.7840716379385645e-5,-1.7187630956272404e-6,0
4.0497923272048e-5,-9.070594357188377e-6,0.005
5.0586132815951406e-5,1.0160252197888297e-6,0
3.805733012719147e-5,-1.1502004024470658e-5,0.11
5.211769140132532e-5,2.5562580479643326e-6,0
4.82085408515694e-5,-1.3450164793177288e-6,0.04
4.0725642710352624e-5,-8.804887873652412e-6,0
5.0595180928124234e-5,1.0645246733315128e-6,0
4.5406205856181865e-5,-4.132888305340421e-6,0
5.107659708297213e-5,1.5201694756361573e-6,0.015
4.561257152753833e-5,-3.926483986239071e-6,0
5.00319503499573e-5,4.79851772500206e-7,0.035
5.012511098322141e-5,5.809109852894512e-7,0.27
4.455796219210314e-5,-4.984828266014763e-6,0
5.544611647030632e-5,5.898562574331856e-6,0.025
4.657272835812734e-5,-2.9528156435437715e-6,0
5.04933373840659e-5,9.601578663909205e-7,0
4.489221244429386e-5,-4.675782452603361e-6,0
5.1664982420813014e-5,2.124099897308218e-6,-0.625
4.467736926141671e-5,-4.867108224198558e-6,0
4.452895457935278e-5,-5.0318378352604e-6,0.02
6.212555636497604e-5,1.2631093776265256e-5,0
4.843591435164356e-5,-1.115136183934551e-6,0.075
4.5573307283318886e-5,-3.997666562728375e-6,0
5.372826794243977e-5,4.2041024768979525e-6,0
5.4942949412251396e-5,5.3796217081014674e-6,0
4.62235557177972e-5,-3.330906933152744e-6,0.045
4.672406845727851e-5,-2.816485440990113e-6,0
6.31612293681136e-5,1.3635593961334736e-5,0
5.327504367958417e-5,3.7074618769106225e-6,0
4.8733245870429264e-5,-8.264268364005512e-7,0.01
4.643827032185166e-5,-3.0886708150174026e-6,0
4.300022544598214e-5,-6.490568626646986e-6,0
5.50421091765495e-5,5.509425598769768e-6,0
4.473444945289138e-5,-4.788087206477609e-6,0
4.865209762619744e-5,-9.006630039093411e-7,0.04
5.1974441245751865e-5,2.4197988455182394e-6,0.025
4.562974734591442e-5,-3.939374834515119e-6,0.01
4.379904428182427e-5,-5.7567310416767325e-6,0.07
3.906745735509228e-5,-1.0506890464107021e-5,0
