MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
1.9952432912031155e-6,-5.745872277918007e-8,-0.55
1.79953475154753e-6,-2.5316921282159124e-7,0
2.22059290144524e-6,1.6792692354217208e-7,0
1.926112521124527e-6,-1.26551796632568e-7,0
2.0051487285461616e-6,-4.750047942370106e-8,0
1.8932381102110354e-6,-1.5949296821582415e-7,0.01
2.0181994108450744e-6,-3.4499171406299214e-8,-0.115
1.9814041293658567e-6,-7.127514916049904e-8,0
2.075344167330404e-6,2.26353950549818e-8,0.08
1.9843354351440474e-6,-6.83682794883067e-8,-0.655
1.8630639465312147e-6,-1.896307666054975e-7,0
1.8868282305984362e-6,-1.6589756432039416e-7,0.005
2.1675777000891737e-6,1.1488034066808872e-7,0.24
2.0680410872180487e-6,1.5385939440282214e-8,0
2.20100728505748e-6,1.4833104183598067e-7,0
2.137745079170926e-6,8.504637934780845e-8,0.21
1.815458301103381e-6,-2.3722038982210147e-7,0
1.8376873736048963e-6,-2.1505578385538903e-7,0
2.0557139948039327e-6,2.995702777508491e-9,0.02
2.3823819844916884e-6,3.2968457620741185e-7,0.065
2.0374552779928584e-6,-1.526546111574323e-8,0.015
2.11484595586511e-6,6.221420559726631e-8,0
2.1102883105544145e-6,5.7559682699048766e-8,0
2.2784037085062046e-6,2.2569506356706624e-7,0.04
2.067918248427667e-6,1.5189328543274707e-8,0.005
2.087504695499463e-6,3.479532020400633e-8,0.075
2.5054108342772503e-6,4.527286697170174e-7,0.285
2.0990098331655667e-6,4.627766116538368e-8,0
2.277681796024469e-6,2.2495773750685898e-7,0
2.03358021829658e-6,-1.9153577207609018e-8,0
1.8559749007978465e-6,-1.9672415759619533e-7,0
1.8883424303804507e-6,-1.644052676252894e-7,0
1.882621017005482e-6,-1.7008503924498264e-7,-0.435
1.8327313277274265e-6,-2.200264559526488e-7,0
2.320264741341489e-6,2.675810213331742e-7,0
1.9812589704265573e-6,-7.144692586669165e-8,0.215
2.1101703075485755e-6,5.75043863482172e-8,0
1.925297876215688e-6,-1.2743914633350785e-7,0
2.0222354367736813e-6,-3.0487855031124945e-8,0.02
1.9617682127330425e-6,-9.093387203451541e-8,-0.3
1.9748799183262366e-6,-7.783566650265695e-8,0.045
1.975629348084136e-6,-7.703755695476211e-8,0
2.1321259172722226e-6,7.938320210398864e-8,0
2.01832880757007e-6,-3.434874226715401e-8,0
1.8122055430102348e-6,-2.4050839006584115e-7,0.17
2.1103540669948243e-6,5.7630763118377006e-8,0
1.6403551164872862e-6,-4.1237619027689744e-7,0.045
2.12402330573082e-6,7.131952713179679e-8,0.12
2.008890835666929e-6,-4.3760607957854524e-8,0
1.8128491467036616e-6,-2.3988571679789406e-7,0.005
1.7134580742508585e-6,-3.3924323213085916e-7,0
1.911455122734251e-6,-1.4129525501838103e-7,0.005
2.06930389093695e-6,1.657611814032123e-8,0.005
2.4129420956910787e-6,3.602436567406997e-7,0.045
1.8925216443325827e-6,-1.601729824379783e-7,0
1.9604827021518623e-6,-9.215968411135921e-8,0
2.3476225034883113e-6,2.9495349819774753e-7,0
2.1237032006884216e-6,7.096584477506162e-8,0
1.863959873246263e-6,-1.8870599952258705e-7,0
1.7296513018541273e-6,-3.230112469126967e-7,0
1.6256477696812698e-6,-4.270836502173747e-7,0.055
2.238620763559235e-6,1.8594636500612883e-7,0
2.2662116086470127e-6,2.135214441317812e-7,-0.625
2.216481554194918e-6,1.6384931522006597e-7,0
1.969824058171304e-6,-8.284432077176885e-8,0
2.072672031574539e-6,2.0002059056278833e-8,0
2.4857156906382488e-6,4.3303280233331075e-7,0.275
1.892345838418368e-6,-1.6035846153117372e-7,0
2.1630814448105594e-6,1.104008879987406e-7,0
1.8986595420558016e-6,-1.5402309566481253e-7,0
2.208795342010506e-6,1.561042497294496e-7,-0.395
2.246476963985718e-6,1.9376929505821038e-7,0.04
1.8193880220751016e-6,-2.3329864702326119e-7,0
1.8502451410208879e-6,-2.0247719352772808e-7,0.05
2.168190444846108e-6,1.1550807519522533e-7,0
2.2036551406390394e-6,1.5099200512791455e-7,0
1.9358837565225875e-6,-1.167764849968611e-7,0
1.958092670374391e-6,-9.457175933313965e-8,0
2.310723647836659e-6,2.5803757900955125e-07,-0.42
2.145959147836891e-6,9.327079345811118e-8,0
1.92217256728614e-6,-1.3054338564744139e-7,0.065
1.9721108614744317e-6,-8.061430278094583e-8,0.01
2.330161980343029e-6,2.775530838378115e-7,0
2.108545334301511e-6,5.585695013465841e-8,0
2.049931392631857e-6,-2.7560529858305925e-9,0
1.8523986263891544e-6,-2.0034503389387837e-7,0.005
1.470673499934137e-6,-5.820125252364861e-7,0
1.975666590715943e-6,-7.704133737407304e-8,0.175
1.8924014220953301e-6,-1.6025372083172673e-7,0
2.080765925344869e-6,2.806830346979705e-8,-0.5
1.989743106668468e-6,-6.299890647487594e-8,0
2.091498397629648e-6,3.8781296203826974e-8,0.025
2.0289404916206505e-6,-2.3789498572179824e-8,0.005
2.1290777480728307e-6,7.638493631501043e-8,0
1.907001769108502e-6,-1.4571896930826168e-7,0.04
1.6536124682394103e-6,-3.9909840473417724e-7,0
2.0987850046918946e-6,4.6147261894002866e-8,0
2.3051463113959457e-6,2.5245613121394064e-7,0.26
1.9358331728774565e-6,-1.1692775657934362e-7,0
1.9926290826592322e-6,-6.008833155879412e-8,0.045
