MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.2489957875985068e-6,-4.517679186633039e-8,0.01
2.0133979728443084e-6,-2.80751739025753e-7,0
2.1032859730390894e-6,-1.9088585416382475e-7,0.015
2.359511149428172e-6,6.538739321326758e-8,0
2.262398805433471e-6,-3.174304355868518e-8,-0.64
2.548089303793752e-6,2.539784277849622e-7,0
2.4573259227878787e-6,1.63182431958675e-7,0.1
2.545619575061858e-6,2.514676604969956e-7,0.015
2.075178952708888e-6,-2.1897797126413377e-7,0.165
2.6899602513524195e-6,3.958931861441917e-7,0
1.993059681110738e-6,-3.0113124057984386e-7,0
2.594920985965433e-6,3.008205455135027e-7,0
2.0676220813986957e-6,-2.265357812225588e-7,0.115
2.5574271037018956e-6,2.633049992800673e-7,-0.15
2.3951416680444782e-6,1.0100402530299756e-7,0.23
2.2437005849001582e-6,-5.047285343728891e-8,0.005
2.113538194102161e-6,-1.8063586974981228e-7,0.015
2.1283013557431257e-6,-1.6579233091340572e-7,0
2.2675635364657245e-6,-2.6632327823072898e-8,0
2.3458663736914852e-6,5.175093767850747e-8,0
2.2364419590574235e-6,-5.7724812068671306e-8,0.03
2.1992662219044224e-6,-9.490252953658907e-8,0.025
1.985989272710707e-6,-3.0820633413308764e-7,0
2.0633486619847724e-6,-2.3081612373576642e-7,0.065
2.358636607318634e-6,6.447322910607678e-8,0.02
2.2936451859725165e-6,-4.96727142196285e-10,0.275
2.268216444931581e-6,-2.5920901687292998e-8,-0.115
2.2149022652658945e-6,-7.926847452932595e-8,0.015
2.2090491886540103e-6,-8.502545365551839e-8,0
2.1761653212239965e-6,-1.1796839031352758e-7,0
1.794110057729201e-6,-5.000990314962816e-7,0
2.377093233710734e-6,8.301641921504288e-8,0
2.2856412212301034e-6,-8.491160264356701e-9,0
1.8453951845222255e-6,-4.486992093744036e-7,0
2.3597284456085455e-6,6.565373024347565e-8,0
2.543734930626615e-6,2.495732795615435e-7,0.01
2.3446641181536952e-6,5.055377348461843e-8,0
2.476852926170468e-6,1.827008665972185e-7,0.025
2.339772981066808e-6,4.5651803403101707e-8,0
2.4021545223145292e-6,1.0800605331429125e-7,0.055
2.1350349674942113e-6,-1.5908546572185322e-7,0
2.0076342010255392e-6,-2.8645760334178317e-7,0
2.3774978445394447e-6,8.334688813893543e-8,0.05
2.4736789749430605e-6,1.7969400832706928e-7,0
2.5685346990846807e-6,2.743578937097757e-7,0.01
2.376420769158069e-6,8.228636771856479e-8,-0.53
2.4895064733619136e-6,1.9536088789962047e-7,0.055
2.3803116374789853e-6,8.615888947571815e-8,0.065
2.507477837007142e-6,2.1336463260024362e-7,0
2.073579250786075e-6,-2.2056295092776068e-7,0
2.6062342684480376e-6,3.1207023331147886e-7,0
2.6629738470863057e-6,3.688338899410226e-7,0.08
2.092220088962444e-6,-2.0195098723085892e-7,0.025
2.1061168715890076e-6,-1.8805347629380354e-7,0.035
1.9248918646367224e-6,-3.6914300330204154e-7,0
2.3043910662784865e-6,1.0244251041346963e-8,0.135
2.190883950637212e-6,-1.0326459097431684e-7,0.205
2.2950844803075834e-6,9.246560983555697e-10,0.03
2.8380579985273863e-6,5.439547483349072e-7,0
2.315548512744249e-6,2.146255980051137e-8,0
2.417707349835276e-6,1.2360997667271169e-7,0
2.2298270596584913e-6,-6.42602287759253e-8,0
2.2161007623007275e-6,-7.805026270180093e-8,0.14
2.153166302499956e-6,-1.4103948802746125e-7,0
2.2832170032211035e-6,-1.0961278197885171e-8,0.01
2.392715922748681e-6,9.851133880411922e-8,0
1.9520150175053287e-6,-3.421718581797517e-7,0
2.2161585607815917e-6,-7.80264252092655e-8,0.005
2.2726311568850567e-6,-2.154190589742644e-8,0.005
2.322821027011582e-6,2.8696524680404956e-8,0
1.9791304545856407e-6,-3.1502699308239013e-7,-0.7
2.526283311250298e-6,2.3220100612064698e-7,0
2.072050514809035e-6,-2.221474729791062e-7,0
2.329355729894837e-6,3.519392868911453e-8,0.005
2.132820916814731e-6,-1.6132938685853303e-7,0.255
2.651750408340067e-6,3.576305750541131e-7,-0.51
2.346069474855494e-6,5.1898083766044325e-8,0.01
2.1726414009762004e-6,-1.2150209443895221e-7,-0.38
2.5191616802072663e-6,2.2496960529860832e-7,0.005
2.2594705233470167e-6,-3.46861709848989e-8,0.06
2.3083459185985252e-6,1.4170918561373647e-8,0.005
1.937933677528745e-6,-3.56225061579063e-7,-0.675
2.506340720261578e-6,2.1216831288306538e-7,0
2.1895556197609196e-6,-1.0458242617250591e-7,0
2.51927132764363e-6,2.250966540262578e-7,0.005
1.910701969565511e-6,-3.834590302465024e-7,-0.71
2.527331521807205e-6,2.3320140547566926e-7,0.305
1.975243752999407e-6,-3.188711717194703e-7,0
2.0949251709602318e-06,-1.9918897227910736e-7,0
2.1875164180580995e-6,-1.0663786057685255e-7,0.1
2.563200682667456e-6,2.6904217307388565e-7,0.015
2.479423185292335e-6,1.8528839746567716e-7,0.19
2.591405878915182e-6,2.9725283128723135e-7,0.015
2.350570419359308e-6,5.6393144566291295e-8,0
2.152133764996774e-6,-1.4199643683987516e-7,0
2.470342615754219e-6,1.761507634645554e-7,0
2.0824886078698023e-6,-2.1165845889015155e-7,-0.155
2.4061739878777562e-6,1.1212361042567398e-7,0
2.380852758467965e-6,8.669697260932364e-8,0.03
2.386377818515159e-6,9.226019566654919e-8,0
