MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.415220263513773e-6,1.6303293650876683e-7,0
2.5913798399016874e-6,3.3918296820811824e-7,0.255
2.1614194061232328e-6,-9.070090591034585e-8,0
2.375474064163139e-6,1.2325667473667145e-7,0.08
1.839008314688567e-6,-4.1320807946498837e-7,0
2.0207183488070408e-6,-2.3146375063676227e-7,0
1.7698806369079285e-6,-4.823622812744066e-7,0.085
2.218229890964394e-6,-3.389977668410982e-8,0
2.3111191578097035e-6,5.8870707063674035e-8,0
2.5537048796297413e-6,3.0149252410904827e-7,0.065
2.3596302993798694e-6,1.0743513754962741e-7,0
2.1751638524056e-6,-7.699582984910247e-8,0
2.022003956657028e-6,-2.3022627650359784e-7,0.13
2.191654373291121e-6,-6.054020490586787e-8,0
1.8233728021829407e-6,-4.2889482656904844e-7,0.005
2.015768698170333e-6,-2.3646508654717734e-7,0.08
2.254327242283717e-6,2.070593043135283e-9,0.005
1.9671910128097584e-6,-2.85006688396372e-7,0
1.9910579189148078e-6,-2.6119551440495493e-7,0.015
2.0520476144794373e-6,-2.0019338527965668e-7,0.02
2.0222454435869846e-6,-2.3001096121633147e-7,0
1.7706229432296162e-6,-4.816098474191843e-7,-0.425
2.0575288760079307e-6,-1.947493601983652e-7,0.005
2.4539211988874122e-6,2.01733379115443e-7,0
2.2154045281013034e-6,-3.6837432502712095e-8,0.015
2.169378280075709e-6,-8.280533374260823e-8,0
2.1669243258014156e-6,-8.528888047198979e-8,-0.51
2.2970948649331957e-6,4.4833790389109395e-8,0
2.044748725668267e-6,-2.075039263665923e-7,0.005
2.329444629721807e-6,7.721224871304334e-8,0.005
1.9225368545658378e-6,-3.2967106444847796e-7,0
1.8046729396261374e-6,-4.475959984057143e-7,0.005
2.226474667457819e-6,-2.5670051247428383e-8,0
2.1984498423013923e-6,-5.3787443436981164e-8,0.04
2.0443248358966424e-6,-2.078730325694167e-7,0
2.1341826238927744e-6,-1.180978130266297e-7,0
1.9847889318724975e-6,-2.674480662478995e-7,0.055
2.101324560773778e-6,-1.508949017559047e-7,-0.705
2.190412631413948e-6,-6.18301202082172e-8,0.01
2.1873348467574387e-6,-6.4765734365535e-8,0
2.3556202262846842e-6,1.0347134566712768e-7,0
2.512359223966697e-6,2.6015239293020185e-7,0.13
2.2316927473328994e-6,-2.0575185522564433e-8,0.005
2.345143005189359e-6,9.294573849683019e-8,0
2.5927069220357195e-6,3.404926167505096e-7,0.03
2.1553007166610897e-6,-9.689138175950074e-8,0
1.7840742074160634e-6,-4.6818895901246107e-7,0.01
2.2574773243136024e-6,5.3144860756582094e-9,0
1.995650821819012e-6,-2.565607448301588e-7,0
2.3061156003020745e-6,5.396929636081182e-8,0
2.2603854671613084e-6,8.18857642137516e-9,0
2.079556200112134e-6,-1.726403385587938e-7,0
2.435719823759755e-6,1.8351945332506503e-7,-0.54
2.036820406459302e-6,-2.1541046450135325e-7,0.07
2.103987913457291e-6,-1.4822209044695888e-7,0
2.095639038607778e-6,-1.5660247407456308e-7,0.01
2.038266922479559e-6,-2.1389788189163372e-7,0
2.146784852349861e-6,-1.0544020024982892e-7,0.095
2.107756131046358e-6,-1.4444485170073128e-7,0
2.2092637976997987e-6,-4.2924583050218954e-8,0
1.9178495340392244e-6,-3.3433387365389146e-7,0
2.1352879212305084e-6,-1.1695933512578804e-7,0.005
2.6897299191521848e-6,4.375525555544435e-7,0
2.456216829011089e-6,2.0398494412487978e-7,0.01
2.4985040703789905e-6,2.4628830817996493e-7,0.04
2.0750328573308707e-6,-1.7713714601241825e-7,0
2.5012151880681293e-6,2.490163800022982e-7,0.4
2.054954730390228e-6,-1.9726716467827198e-7,0.255
2.024569296473333e-6,-2.2760230054263975e-7,0
2.110459762370188e-6,-1.4174561890900605e-7,0
2.5025624375476415e-6,2.5033504364890826e-7,0.02
2.6017911227963838e-6,3.4956766061577936e-7,0.01
2.4389223077829064e-6,1.867187663207037e-7,0.235
2.3965299888474537e-6,1.4432272402109535e-7,0.215
2.203761943159205e-6,-4.846163010829852e-8,0.09
2.460312962324414e-6,2.0810554978101248e-7,0.175
2.269039681068966e-6,1.688510650355024e-8,0
2.126442186675044e-6,-1.257519904879212e-7,0
2.430317772230129e-6,1.7805988916985704e-7,0
2.449634929142561e-6,1.974317683783866e-7,0.275
1.906878171291903e-6,-3.453509829320911e-7,-0.7
2.6818676797944033e-6,4.296481665450047e-7,0.025
2.55994368422493e-6,3.077911960630564e-7,0
2.304762570639686e-6,5.2578307100925595e-8,0
2.358611841249568e-6,1.0639127688616412e-7,0.04
2.503117392788844e-6,2.5092797592995985e-7,0
1.8579100881960538e-6,-3.943185498789248e-7,-0.455
2.5541610818203783e-6,3.019519150587735e-7,0.085
2.1960153906370373e-6,-5.614205778325942e-8,0
2.053283025117573e-6,-1.9896976644229182e-7,0.01
2.077346454662605e-6,-1.7486226944252171e-7,0
2.6049186994461716e-6,3.527644738371416e-7,0
2.4281290225690318e-6,1.7590611536777433e-7,0.04
2.1433964827389903e-6,-1.0881164013598622e-7,0
2.246293713868683e-6,-5.9634664062446776e-9,0.005
2.3305977139798467e-6,7.835062079686317e-8,0.01
2.292161021188041e-6,3.9921961101363476e-8,0.005
2.5765241250745816e-6,3.24317821372988e-7,0.115
2.574042938473671e-6,3.2187890570578583e-7,0
2.0119915307888667e-6,-2.4023727217659106e-7,0.175
