MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.4884535663767025e-6,2.3628354597238222e-7,0
2.262230612990966e-6,9.993135312580392e-9,0.005
2.1568885968828398e-6,-9.524461424270658e-8,0
2.3079347257096286e-6,5.567330679134841e-8,0
2.1134096444755025e-6,-1.3884966908017658e-7,0
2.4683447690928177e-6,2.1614149309123754e-7,0.245
1.8135826709580662e-6,-4.386607775114237e-7,0.06
2.2281140770111347e-6,-2.409127379532361e-8,0
2.2979863684474832e-6,4.573500538618269e-8,0
2.4786735103462797e-6,2.264574401572572e-7,0.045
2.553879592744837e-6,3.01668571919822e-7,0.065
1.9503912058362898e-6,-3.018180277924998e-7,0
2.1218450150234053e-6,-1.303951309661322e-7,0.015
2.4559019929265262e-6,2.037297942064642e-7,0
1.765768019329211e-6,-4.864708471868928e-7,0.175
2.046678517641267e-6,-2.0555413946021785e-7,0.045
2.0388539759476877e-6,-2.1341877164071653e-7,0
1.6849325555218805e-6,-5.672492000990959e-7,0
1.8758997812900703e-6,-3.763662603839535e-7,0.005
1.8541218183479083e-6,-3.9814797958004353e-7,0
2.0193494758320336e-6,-2.3292841779598562e-7,0
1.9736863905377853e-6,-2.785611708150393e-7,0.015
2.0749806218840372e-6,-1.772644959435743e-7,0.005
2.348346579037438e-6,9.619087702417151e-8,0
2.2365908041762222e-6,-1.566310916079061e-8,0
2.2724560888390046e-6,2.0278878642421283e-8,0
2.406103012226849e-6,1.5384978085397628e-7,0.005
2.35281439761804e-6,1.005678549687028e-7,0.005
2.319348546275736e-6,6.710342033366956e-8,0.005
2.441361043641534e-6,1.8918489417818484e-7,0
2.090648418041979e-6,-1.6155662732886268e-7,0
1.8304196867826029e-6,-4.218459724258938e-7,0
2.395292547774903e-6,1.4311762834506857e-7,0
2.022634873130691e-6,-2.2962075798438342e-7,0
1.7984282956600985e-6,-4.5376578979405833e-7,0
2.174960717664255e-6,-7.731694799506528e-8,0
1.8653421976041268e-6,-3.8691443672189687e-7,0
2.266688102604279e-6,1.4423770259286429e-8,0.005
2.2741620646064796e-6,2.1894050427073708e-8,0
2.0621235617784232e-6,-1.9003869086819947e-7,0
2.6396553894018466e-6,3.874640191064982e-7,-0.645
2.5161118963096302e-6,2.638774293844959e-7,0.015
2.4435036601103173e-6,1.9129000632167604e-7,0.075
2.110712893248885e-6,-1.4151520636607185e-7,0.065
2.2568416725808093e-6,4.637688746367274e-9,0
1.978547451606495e-6,-2.7366782231141863e-7,0
1.7839477860668505e-6,-4.6829981267981767e-7,0.035
2.1018819225393758e-6,-1.5033300873934507e-7,-0.265
2.12100034234459e-6,-1.3123894140820712e-7,0.02
2.422301223038706e-6,1.700861692877087e-7,0.08
2.3262248942834123e-6,7.403259707161602e-8,0
2.1868022753866077e-6,-6.538223617513773e-8,0
2.4401182522967053e-6,1.8790861988082775e-7,0.125
2.1190620561493253e-6,-1.3314479688386617e-7,0
1.8012294484967184e-6,-4.5099941097193063e-7,0
2.413660267619579e-6,1.614407249872496e-7,0.05
2.438674186311819e-6,1.8655395195354975e-7,0
2.0993404735241496e-6,-1.528706329945173e-7,0
2.345686470964973e-6,9.346377255747828e-8,0.035
2.1649488785976947e-6,-8.724175786123389e-8,0
1.9928626739574886e-6,-2.593246708515462e-7,0
2.197492876035468e-6,-5.47258660604788e-8,0.16
2.7877501588330375e-6,5.355550385760521e-7,0.11
2.4645303812807904e-6,2.1230614663747538e-7,0.02
2.5046715130552713e-6,2.5246862060124273e-7,0.205
1.8486606109614741e-6,-4.0357033183502365e-7,-0.625
2.351775555560924e-6,9.955596930066868e-8,0.055
2.3439902938284577e-6,9.176275690803148e-8,0.025
2.5012659709644403e-6,2.490731676230151e-7,0
2.1281884344943415e-6,-1.2401940837070137e-7,0
2.190911647178497e-6,-6.127838864056212e-8,0
2.07073117025862e-6,-1.8150461974897335e-7,0.035
2.2412831282504522e-6,-1.0942321646556507e-8,0.055
2.6050194202697116e-6,3.5282831778449264e-7,-0.495
2.132596315048535e-6,-1.1960637841590404e-7,0
2.172342139087009e-6,-7.984267124061528e-8,0
2.3135318910621795e-6,6.136477507134863e-8,0
1.9777927134843653e-6,-2.7443890523060066e-7,0.105
2.3268509088039545e-6,7.460793849001224e-8,0.01
2.7718762227725025e-6,5.198066479794594e-7,0
1.867263729837751e-6,-3.8492573531334616e-7,0
2.4567791282828497e-6,2.045834596925422e-7,0
2.2108095037628674e-6,-4.136487885941787e-8,0
2.686677018036158e-6,4.3446962537663226e-7,0.055
2.3830743572398596e-6,1.3082292533828087e-7,0.005
2.4943040341135024e-6,2.42125135024307e-7,0
1.920873117251246e-6,-3.31332554520114e-7,0
2.2093614792687946e-6,-4.286546678056169e-8,0.06
2.2090368223997414e-6,-4.311961374126039e-8,0
2.096488882088276e-6,-1.5571684047643863e-7,0
2.3001798854111453e-6,4.798576184850134e-8,0
2.4528152092508954e-6,2.0059053126908478e-7,0.02
2.557507223316221e-6,3.052850078594238e-7,0.015
2.3377664734742234e-6,8.561714790411567e-8,0
1.8689022362941655e-6,-3.833606470038386e-7,0
2.161439922562343e-6,-9.074935763797587e-8,0
2.355831068106069e-6,1.0357874388189359e-7,0
2.5761743548334088e-6,3.2399775981628577e-7,0
2.342778457540317e-6,9.05936706974142e-8,0
2.009848558056016e-6,-2.4239335064402124e-7,0.015
