MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.2197932310088994e-6,1.0305021750256493e-7,0
2.2805228111540015e-6,1.6376565708575707e-7,0.345
2.247365380522066e-6,1.306090656066905e-7,-0.525
2.0152660588266223e-6,-1.0152884542424801e-7,0.005
2.4530386997620975e-6,3.36275314636314e-7,0.04
2.510495209522751e-6,3.937713321061631e-7,0
2.573913706165689e-6,4.5717457719141043e-7,-0.325
1.981008094054762e-6,-1.357250297534529e-7,0
1.7283469796741883e-6,-3.8844817392025276e-7,0.045
2.23350246183976e-6,1.1671903167698172e-7,0.015
2.6132028233431915e-6,4.964616904756802e-7,0.43
1.765122577448918e-6,-3.516278528314931e-7,0
1.7264150854670043e-6,-3.9036029792716145e-07,0
2.389197432165029e-6,2.7243240929064603e-7,0.075
2.4269963866591462e-6,3.1024276503310853e-7,0.205
1.9054299011708835e-6,-2.1132865719364346e-7,0
2.3738998139490317e-6,2.5715417958260823e-7,0
1.9137119349081018e-6,-2.0308182680950359e-7,0.01
1.986533740590223e-6,-1.3020928045559545e-7,0
2.216124223928987e-6,9.938359961825238e-8,0
1.995481578058875e-6,-1.212968005792625e-7,0.085
2.3174128237673632e-6,2.006388286823757e-7,0.035
1.6674451055480845e-6,-4.4934116154526915e-7,-0.68
1.8536941109613298e-6,-2.631158450383531e-7,0
2.113638278338578e-6,-3.11849910283879e-9,0
1.967267824837722e-6,-1.4950245377676197e-7,-0.54
2.6110503167919233e-6,4.943121798378636e-7,-0.45
1.7819237434281575e-6,-3.348680894882383e-7,0.045
2.358331369864932e-6,2.416137731875434e-7,0
2.0539159922691578e-6,-6.279183801027876e-8,0
2.1511059238114178e-6,3.4364400284814244e-8,0
2.304963167413945e-6,1.8822641198512625e-7,0
1.9116330517868345e-6,-2.0512792119620204e-7,0
1.8006764209679594e-6,-3.160363791376852e-7,0
2.399526769753433e-6,2.827533071342314e-7,0.01
1.9789336758847264e-6,-1.3783973167924567e-7,0.235
2.1370350763069662e-6,2.0256922701467062e-8,0.04
1.952525022288039e-6,-1.6423619302319282e-7,0
2.3232201969295323e-6,2.0648526669719835e-7,0
2.376299311101613e-6,2.595536794641751e-7,0
2.1462979693744786e-6,2.9514428934729332e-8,0.015
2.359964929903236e-6,2.4320743076344796e-7,0.18
2.548272179023385e-6,4.3149936237552034e-7,0.015
2.1733085032489862e-6,5.6515109108090654e-8,0.005
2.2508048022170183e-6,1.340435393082373e-7,0.225
1.824656186972608e-6,-2.9213538689565334e-7,0.04
2.335922459834551e-6,2.1914753322360703e-7,0.035
2.000845399462946e-6,-1.1589758712848841e-7,0
2.296627166028563e-6,1.7992350925033485e-7,0
2.1617178815418452e-6,4.4986081353393103e-8,0
2.0994890201562703e-6,-1.7252139987156135e-8,0
2.2385122673403344e-6,1.2176596460244936e-7,0
2.0023730914517197e-6,-1.1438184813417074e-7,0
2.094035753556203e-6,-2.2712083806442075e-8,0
2.0756845952410474e-6,-4.107225165861372e-8,0
1.9690645161487186e-6,-1.477308691749668e-7,0.01
1.9933189571907257e-6,-1.2346562969389742e-7,0.055
2.149248642431525e-6,3.24950951940961e-8,0
1.9077991298911433e-6,-2.089480466316296e-7,0
1.8237558802452826e-6,-2.930400696837809e-7,0.03
2.021404476630123e-6,-9.535430784135545e-8,0
2.201187912785841e-6,8.441887698384942e-8,0.105
2.0827430676960074e-6,-3.405724959160139e-8,0
2.3820859875771963e-6,2.6532411834145894e-7,0.08
1.961397672259032e-6,-1.5534637080538705e-7,0
1.9567127981884097e-6,-1.6004434618632767e-7,0
2.477780769663866e-6,3.610462682984705e-7,0
1.8203830010333484e-6,-2.9641034670291334e-7,0.03
2.1217212106653707e-6,4.9202902446809915e-9,0.005
2.2194393235498153e-6,1.0264124556735866e-7,0.005
1.960094668915683e-6,-1.56723538546899e-7,0
2.31597785316992e-6,1.9920325494582336e-7,0.035
2.116005063609571e-6,-7.968549375902969e-10,0.005
2.377614151718356e-6,2.608309364454664e-7,0.015
1.7884903389436809e-6,-3.2829599510897367e-7,0.105
2.0243060418295765e-6,-9.248126363325948e-8,0.035
2.370460886591072e-6,2.537165095778393e-7,0
2.1910518510004045e-6,7.43064338448729e-8,0
2.145865110363328e-6,2.9087903500313316e-8,0.06
2.199836650064015e-6,8.308783022270561e-8,0
2.0996890241364417e-6,-1.7084035511816254e-8,0.095
1.8790098695764977e-6,-2.3777846961337002e-7,0.055
2.0202002775442485e-6,-9.65657745249926e-8,-0.34
2.0129200459593872e-6,-1.0387796629762747e-7,0
2.1512219557419737e-6,3.4505674662010935e-8,0
2.0987638624642026e-6,-1.7985610260562447e-8,0
2.418087754781662e-6,3.0137190132006883e-7,0
1.9813108378788676e-6,-1.3542238759989278e-7,0
2.43290671342355e-6,3.16110060301078e-7,0
2.180537597352418e-6,6.374103047490643e-8,0
1.5592736343116502e-6,-5.575184724299076e-7,-0.76
2.3866137880670606e-6,2.698913527560132e-7,0
1.8096242365710216e-6,-3.0713780571789416e-7,0
2.3186856591075314e-6,2.0195156706204199e-7,0
2.026908646055929e-6,-8.987601470666905e-8,0.035
2.1995739045500753e-6,8.284391314672401e-8,0
1.93936405526321e-6,-1.7734142070735538e-7,0
2.373963971397388e-6,2.571783112081949e-7,0.005
1.8356363231970432e-6,-2.8106983606446254e-7,0
2.2000143613446166e-6,8.323846864888295e-8,0.03
