MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.065475004232804e-6,-7.322229500950072e-8,0
2.0880666936419575e-6,-5.0680269782499285e-8,0.005
2.087015747753805e-6,-5.169925530623676e-8,0
1.9810640698546676e-6,-1.5766782574089255e-7,0.175
1.9445208328267892e-6,-1.9420146151083452e-7,0
2.09111663807955e-6,-4.757095783236576e-8,0
1.9787279999802147e-6,-1.5997674543966056e-7,0
2.194797785464627e-6,5.6048264395203165e-8,0.005
2.083542475264134e-6,-5.5211597039805935e-8,0.005
2.339113049291586e-6,2.003765256464174e-7,0.005
2.2134789919935897e-6,7.473861568130236e-8,0.03
2.3205683458225475e-6,1.8185211937360446e-7,0.18
2.4509199653143018e-6,3.122432001201325e-7,0
2.54384385438689e-6,4.05112485239445e-7,0.015
2.0368962566168017e-6,-1.018803886121411e-7,0
2.0559310558739413e-6,-8.281567035861582e-8,0.015
2.1290853627857426e-6,-9.636380888800034e-9,-0.65
1.7739488374928384e-6,-3.6482622223943385e-7,0.005
2.337787811148288e-6,1.9903727865588915e-7,0.01
2.073989600584759e-6,-6.476262694732337e-8,0.005
2.014765762051359e-6,-1.239568022409765e-7,0
1.8545282834456139e-6,-2.8424467384602357e-7,0
2.366484058321024e-6,2.2781188367959616e-7,0
1.9408778404483206e-6,-1.977962417826218e-7,0
1.8029032101527219e-6,-3.3583682784110726e-7,0.205
2.6236205104003614e-6,4.84893569420719e-7,0.01
2.3180021109497203e-6,1.7930643678554238e-7,0
1.8165236280938227e-6,-3.2217278868595934e-7,0
2.205706706421943e-6,6.702390934865133e-8,0
2.162318632559184e-6,2.360187476069253e-8,-0.24
2.569594536808616e-6,4.308858864399134e-7,0.145
2.0832116485496656e-6,-5.548401876165343e-8,0
2.0740764197441124e-6,-6.468046752916567e-8,0.01
2.553022768131731e-6,4.142887786623417e-7,0.015
1.8018609838105028e-6,-3.369071109715627e-7,0
2.2778320513531928e-6,1.3912280570016477e-7,0
2.307783854741304e-6,1.6903705774617973e-7,0.005
2.187431173035989e-6,4.8726257142472915e-8,0
2.080906012921265e-6,-5.774228845734086e-8,0
2.2382309795408113e-6,9.952750101016594e-8,0
2.4310954984652674e-6,2.923609009952699e-7,0.01
2.163548174695251e-6,2.4808037488721624e-8,0.02
2.386291724476448e-6,2.4755008183663386e-7,0.01
2.5563493166529677e-6,4.176191926202888e-7,0.01
2.346843769301154e-6,2.0808225635216003e-7,0
1.7869509630268392e-6,-3.5171851612392224e-7,0
2.26686989792354e-6,1.281621634091623e-7,0
2.280299484673813e-6,1.4159146197179062e-7,0
2.0443031956023153e-6,-9.444186827467504e-8,0.025
2.7533614151283514e-6,6.147108912879507e-7,0
1.871971791723663e-6,-2.667741568057602e-7,0.035
2.1956575095946865e-6,5.690700520977199e-8,0.005
2.475264851725756e-6,3.3656459052011647e-7,0
2.1853215909987643e-6,4.661628185020916e-8,0
2.222512142958807e-6,8.377147373284099e-8,0.02
1.9319088932169824e-6,-2.0682633202151468e-7,0.18
2.354039251224381e-6,2.153412130490029e-7,0
2.1239281735479915e-6,-1.4781488409942867e-8,0
1.9105640695626073e-6,-2.281819006066943e-7,0.035
1.888945477069213e-6,-2.497793592676212e-7,0
1.8097999103751423e-6,-3.289441874859689e-7,0.1
2.17710883870537e-6,3.8360233627354746e-8,0
2.2463896670225168e-6,1.0771584144475543e-7,0
2.6001935645212967e-6,4.614995306134739e-7,0
2.3216850982015355e-6,1.8294961722897796e-7,0.02
2.3326802181460096e-6,1.9399188341207018e-7,0
1.9884219254432952e-6,-1.5028662094185296e-7,0
1.9300066466848e-6,-2.0875709551115839e-7,0
2.0620609837354056e-6,-7.671170184075926e-8,0
1.7808754937470904e-6,-3.578574274148982e-7,0
2.18316328701996e-6,4.444982923790253e-8,0
2.171488565324354e-6,3.275633742860773e-8,0.08
2.2479719857284825e-6,1.0924826006120103e-7,0.13
2.4016502081065813e-6,2.629194192649287e-7,0.025
2.019112473104908e-6,-1.1961283081562967e-7,-0.485
2.400822775057582e-6,2.621133647612295e-7,0.34
2.0770223419465875e-6,-6.168037640752466e-8,0
2.5001074027091296e-6,3.6146705427619884e-7,0
2.236607927887611e-6,9.791041497342334e-8,0
2.0501292052237887e-6,-8.854151369364071e-8,0
2.304072355351625e-6,1.6541047660190156e-7,0
1.685229646770519e-6,-4.5348792957200513e-7,0
1.7628302255417025e-6,-3.7593454691786653e-7,0.005
2.0712519734630345e-6,-6.750598088300919e-8,0.005
2.019953699046073e-6,-1.1877268514648431e-7,-0.605
2.175317149457903e-6,3.657619408348189e-8,0.035
2.2160302331585857e-6,7.734032048900553e-8,0
1.999890237512399e-6,-1.3879039893971434e-7,0
2.2467877320953164e-6,1.080453802260184e-7,0.01
1.6261019215680123e-6,-5.126200611305087e-7,0
1.8540040481277353e-6,-2.8471451734346507e-7,0
2.2567715380302607e-6,1.1801690036450374e-7,0.005
2.8216826333627842e-6,6.829616725045895e-7,0.01
2.137034273550883e-6,-1.6917795719884054e-9,0.15
1.950717195772701e-6,-1.8804319037890593e-7,0.005
1.946394452886616e-6,-1.9230862375541057e-7,0
1.741617166715157e-6,-3.9710201893861096e-7,0
1.8950181685123824e-6,-2.437369308316839e-7,0.01
2.242311197202376e-6,1.035999487064565e-7,0
2.2145584639502496e-6,7.583848394610016e-8,0.23
