MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.0575093905184076e-6,-2.5118409907598505e-9,0
2.1845457259542044e-6,1.2448080348392841e-7,0
1.9459663894545298e-6,-1.1408348053021377e-7,0.165
2.3374634240384735e-6,2.774947381545267e-7,0
2.0278570501943847e-6,-3.217522986431742e-8,0
2.350300131521299e-6,2.9027603517306486e-7,-0.105
2.0917246930797764e-6,3.168680585141637e-8,-0.475
1.9601243925325157e-6,-9.993514174577722e-8,0.02
2.2377953504463566e-6,1.7776649967882196e-7,0
1.8537736711979832e-6,-2.0624884326136961e-7,0
2.0600865805060183e-6,5.274651382336519e-11,0
2.1428534080722348e-6,8.284362017385582e-8,0
1.9250144968617843e-6,-1.3503714310914018e-7,0.18
2.070801156351618e-6,1.079598808795268e-8,0
1.9036204881586976e-6,-1.5641780320485576e-7,0
2.268542938439968e-6,2.08528910495831e-7,0
1.986611656428854e-6,-7.345940031266984e-8,0
1.9741340013605085e-6,-8.588496003048008e-8,0
1.9164619236616986e-6,-1.4360649277955773e-7,0.025
2.026153889048435e-6,-3.3919036720453375e-8,0
1.878799032500262e-6,-1.812961624048093e-7,0
1.904821046094329e-6,-1.55255220721795e-7,0
1.9660752178160945e-6,-9.39558257334605e-8,0
2.394743548567773e-6,3.347524342856012e-7,0
1.9412839457659724e-6,-1.1876563877466494e-7,0.205
1.6869782436139596e-6,-3.7309502800397797e-7,0.015
2.3808064725717412e-6,3.208411173682979e-7,0
2.4436929598442885e-6,3.837478177498577e-7,0
1.6540222019536915e-6,-4.060544036393887e-7,0.005
2.313567377895017e-6,2.5351421983177413e-7,0.015
2.094025163006076e-6,3.396923521192807e-8,0.025
1.7692190837010276e-6,-2.9081956478882454e-7,0
2.450152393140964e-6,3.901458384958367e-7,0
2.4884178749190274e-6,4.283754092182512e-7,0.02
2.1233791868166837e-6,6.336327185829659e-8,0
2.126818147416398e-6,6.681193991442402e-8,0
2.4933512204032425e-6,4.3331159626902595e-7,0.04
2.3953113593057933e-6,3.3525461525352183e-7,0
2.0315900040295647e-6,-2.8411550144769037e-8,0
2.382107590983004e-6,3.2204429428972503e-7,0
1.9967424439581427e-6,-6.329765626977846e-8,0
2.3017099517253348e-6,2.4170636405917987e-7,0
2.231539243642422e-6,1.7157104314824423e-7,0
2.164618384622114e-6,1.0459555272623878e-7,0
2.15141836145959e-6,9.141955663649614e-8,0
2.320274297127111e-6,2.60235256159258e-7,0.095
1.71912701244536e-6,-3.409324578701467e-7,0.21
2.220844411296241e-6,1.6079097194421354e-7,0.025
2.0261568108262743e-6,-3.3894977470305676e-8,0.08
2.1417412351934953e-6,8.166132009379545e-8,0
1.8040223787264759e-6,-2.5602134736679714e-7,0
1.9831941305349255e-6,-7.683329542873541e-8,0
2.3731320920999695e-6,3.13124246031915e-7,0
2.1061635139069728e-06,4.6151427173235504e-8,0
1.9057057471949472e-6,-1.5436313556715932e-7,0.015
2.1666603155910914e-6,1.0658878511260462e-7,0
2.2096169843977863e-6,1.4953674092765824e-7,0.005
1.6584191144487934e-6,-4.0167454960382544e-7,0
2.4597353526900128e-6,3.99727479437062e-7,0
1.7531466241065495e-6,-3.069185919063466e-7,0.05
2.1369420114343897e-6,7.690711469610089e-8,-0.33
1.9172322544306777e-6,-1.4281482793976342e-7,-0.585
2.078145275453294e-6,1.813757100843638e-8,0
2.126916986213167e-6,6.687335857846754e-8,0.165
1.9495357427596602e-6,-1.1050492421005309e-7,0
2.2814836739229416e-6,2.2149533218274175e-7,0
2.2190335194106915e-6,1.5901207717605726e-7,0
2.280683004072613e-6,2.2066213830995717e-7,0
2.017871656643436e-6,-4.2174236399294964e-8,0.22
1.9052814076830306e-6,-1.5479302636067782e-7,0.01
2.3467459861443845e-6,2.8670352757831363e-07,0.045
2.008675590659232e-6,-5.1397559658328264e-8,0
2.0289482610504906e-6,-3.110962810914941e-8,0.03
2.5735548699170558e-6,5.135049411258974e-7,0.015
1.7755222649213885e-6,-2.845536324969089e-7,0.01
2.149621066859656e-6,8.95872983458501e-8,-0.255
1.9656991081090223e-6,-9.434337909730583e-8,-0.23
1.9697266453960167e-6,-9.030739003268451e-8,0
2.234590585116768e-6,1.746253213869009e-7,0
1.993416179262558e-6,-6.665646294978788e-8,0.005
2.1923358822735574e-6,1.322787180080276e-7,0.02
1.9715510055431835e-6,-8.849264997279338e-8,-0.51
1.6338031846144767e-6,-4.262878971816875e-7,0
2.0641687752973158e-6,4.155975937836231e-9,0
1.873295000271394e-6,-1.8678573881159012e-7,0
2.1061390329508633e-6,4.614189630269827e-8,0
2.2393351340680854e-6,1.793074597900013e-7,0
2.043564449880102e-6,-1.645273928485569e-8,0
2.120844164717082e-6,6.081697305149181e-8,0
2.0980788508930103e-6,3.804858477896022e-8,0
1.9473693520860534e-6,-1.1266401385101599e-7,0
2.23530468642354e-6,1.7528270480848816e-7,0
2.1271976301424216e-6,6.720444223728972e-8,0
2.0829478524255404e-6,2.2925556541486534e-8,0
1.9760094333982186e-6,-8.405813669454255e-8,0.01
2.092197085218797e-6,3.2131002890012364e-8,0.015
2.252978214196098e-6,1.929438939002326e-7,0.245
2.1473340910311474e-6,8.72648410932264e-8,0
2.0437379491360864e-6,-1.6276421931915586e-8,0
1.9414055431210343e-6,-1.1859771103073235e-7,0
