MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.031435411728159e-6,-2.8591260846089205e-8,0
2.216226893444095e-6,1.5617031461023777e-7,0.01
1.8945355859192519e-6,-1.6551669138165081e-7,0.17
2.2945607483237723e-6,2.3459220858834673e-7,0
2.0113171238047055e-6,-4.8718387931079296e-8,0
2.3150723865228163e-6,2.55047530094421e-7,0
2.0869648668032497e-6,2.6924055319121897e-8,0.29
1.9147085066739534e-6,-1.4536497189632236e-7,0
2.2370619592555455e-6,1.7703096052701371e-7,-0.475
1.8970890138956915e-6,-1.6293131495648262e-7,0
2.082581187036833e-6,2.2540406713345008e-8,-0.71
2.130455258552451e-6,7.044230464436918e-8,0
1.9856981488744734e-6,-7.435454192739055e-8,0.11
2.0645371913997998e-6,4.536876035410309e-9,0
1.856419038519978e-6,-2.0362578737775917e-7,0
2.3227071984988883e-6,2.626919432135999e-7,0
1.9877925484534903e-6,-7.227979394119899e-8,0
1.9764732626765056e-6,-8.354886387451632e-8,0
1.878426596175948e-6,-1.8163798311376933e-7,0.03
2.0618117896774347e-6,1.7417415421050465e-9,0.005
1.918298807623638e-6,-1.417943620829476e-7,0
1.8750265541951966e-6,-1.8504742430480725e-7,0
2.0106413802875732e-6,-4.939059262853984e-8,0
2.4066528962117557e-6,3.4666370080260743e-7,0
1.9194522506544653e-6,-1.4059784339104376e-7,0.225
1.6687808003758036e-6,-3.9129463506537563e-7,0.015
2.376231679564864e-6,3.162651312738074e-7,0
2.4759632346906503e-6,4.1601498059540274e-7,0
1.708335866926497e-6,-3.5173157465706594e-7,0.065
2.302926126048101e-6,2.428710826651859e-7,0.005
2.0405502943821096e-6,-1.9501329903137686e-8,0.06
1.7632859415087293e-6,-2.9675796759942584e-7,0
2.4902033245853752e-6,4.301983536414422e-7,0
2.5054017824207167e-6,4.453577167584655e-7,0.02
2.08847074480809e-6,2.8449572359590115e-8,0
2.1360937936149167e-6,7.609616345161108e-8,0
2.5130805703911545e-6,4.5304096994491783e-7,0.035
2.381034611478193e-6,3.2098515364731297e-7,0.015
2.0535002762570703e-6,-6.5066358168053286e-9,0
2.4305174121325364e-6,3.70464337036136e-7,0.015
2.0269175546344878e-6,-3.3116446425118795e-8,0
2.3248251595295824e-6,2.6482070210276375e-7,0
2.2502261486056256e-6,1.9026882283001977e-7,0
2.1640170361348277e-6,1.0400533328625006e-7,0
2.1835882278413615e-6,1.2358492510855524e-7,0
2.275937718349542e-6,2.1590228097945197e-7,0.195
1.6819133003275943e-6,-3.7814197572483276e-7,0
2.1420938364293833e-6,8.20348967262019e-8,0.015
2.0139699679430697e-6,-4.609062251414997e-8,0.015
2.1937982445395855e-6,1.3372571337932905e-7,0
1.8126271603272703e-6,-2.474190657841824e-7,0
1.9940470297746922e-6,-6.597652053519365e-8,0
2.362852995930243e-6,3.0284217837572845e-7,0
2.098475535231086e-6,3.846166339305235e-8,0
1.929427529964624e-6,-1.306348652813094e-7,0.04
2.1691840195643684e-6,1.0911484912945468e-7,0
2.2284999754103412e-6,1.684173636051778e-7,0
1.7142038596532235e-6,-3.4588667544133147e-07,0
2.43063638883251e-6,3.7063268495562964e-7,0
1.7169820821782886e-6,-3.430776377721934e-7,0.195
2.1240299630541443e-6,6.398847324784462e-8,0.195
1.9616452421973434e-6,-9.84053149444275e-8,0.185
2.124210535021773e-6,6.419566384474606e-8,0
2.14438698681254e-6,8.435390894845352e-8,0
1.962121542517688e-6,-9.791697278827006e-8,0
2.24548815970879e-6,1.854870784467888e-7,0
2.1910181293538525e-6,1.3099768659041721e-7,0
2.2405053706376424e-6,1.8048372232182253e-7,0
2.0053502622061328e-6,-5.468700436772611e-8,0
1.90514582029403e-6,-1.5491926354194162e-7,0.035
2.3097236575267764e-6,2.4967971242573216e-7,0.05
2.0540528180012546e-6,-6.014344318683307e-9,0.005
2.021706857495472e-6,-3.835710599697784e-8,0.005
2.5816429091489953e-6,5.215915631046065e-7,0.015
1.7689888023871347e-6,-2.910911089798462e-7,0.01
2.2031718444364768e-6,1.431369700677365e-7,-0.665
1.9564392607410663e-6,-1.0360915184859377e-7,0.21
1.9618975606051185e-6,-9.814369176908144e-8,0
2.181399749368906e-6,1.2143582011625576e-7,0
2.009365988658598e-6,-5.070578584454033e-8,0.005
2.188402578100098e-6,1.2834669141925658e-7,0.025
1.9693943547125557e-6,-9.064705132899586e-8,0
1.5999387799728663e-6,-4.60147524722343e-7,0
2.076573016671848e-6,1.655924117771601e-8,0
1.8253609394833337e-6,-2.3471454122236947e-7,0.005
2.1196980044770953e-6,5.969313113085573e-8,0
2.2387129940630647e-6,1.786861209374102e-7,0
2.054420911513402e-6,-5.590236228925072e-9,0
2.1592170387601835e-6,9.919535048918959e-8,0
2.038578341082079e-6,-2.1461154673385607e-8,-0.32
1.939616450077192e-6,-1.2042675408441285e-7,0
2.2649457586973104e-6,2.0492922902570764e-7,0
2.1125891588878266e-6,5.25997017486457e-8,0
2.141376711450514e-6,8.13572545399488e-8,0
1.9979538068248675e-6,-6.210845340359761e-8,0.03
2.042332195917722e-6,-1.7744071658110093e-8,0.005
2.241770310536744e-6,1.8173691674117087e-7,0.335
2.19645121350854e-6,1.3638648489244786e-7,0
2.08269088996187e-6,2.2688202593323937e-8,0
1.9224156585918307e-6,-1.3757929195168383e-7,0
