MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.4224524818795798e-6,3.6812560172516664e-7,0.01
1.6705927795185503e-6,-3.83731167344914e-7,0
2.191489942569407e-6,1.3720194951438724e-7,0
2.1036537492441896e-6,4.929814386822606e-8,0
2.1548767688462913e-6,1.0065579825246917e-7,0
2.0105318162997436e-6,-4.378963354645382e-8,0.19
2.189427095250765e-6,1.3507906450938024e-7,0
1.8155393489296543e-6,-2.3879937207482715e-7,0.05
1.9636838890704366e-6,-9.060580259623308e-8,0
2.1017448491148506e-6,4.741353127002412e-8,0.03
1.7330708001764936e-6,-3.213075590224879e-7,0
2.370139112576928e-6,3.1585523435018194e-7,0
2.154855679984183e-6,1.005624127575766e-7,0
1.8709389411369234e-6,-1.8338472899837033e-7,-0.655
1.6943569537777673e-6,-3.599925032155005e-7,0.015
2.135444361814629e-6,8.112294573980882e-8,0.08
1.9008609022999303e-6,-1.534766927019371e-7,0.04
2.0050106367187764e-6,-4.9286918717417196e-8,0
2.179471362486416e-6,1.2511716643626158e-7,0
2.1411052742462824e-6,8.681338434457508e-8,0
2.1325267355571643e-6,7.825718815024362e-8,0
1.6414915546558224e-6,-4.128156457433585e-7,0
2.294321371171898e-6,2.40014965527946e-7,0.255
1.924698180895488e-6,-1.2956336658986878e-7,0
2.2170074823103448e-6,1.6272811407203048e-7,0
2.4100970997204246e-6,3.557837658729746e-7,0.045
1.9999522926562494e-6,-5.4383907972521685e-8,0.015
2.2530775240534836e-6,1.9873345871723735e-7,0
1.905987790932657e-6,-1.483661614570808e-7,0.01
1.9387587346751628e-6,-1.155586838891276e-7,-0.105
2.03178398017464e-6,-2.257833601193582e-8,0.005
1.7972094906869387e-6,-2.5709982127419815e-7,0
2.0075845205418654e-6,-4.671120349408753e-8,0
1.8461489383950833e-6,-2.0817757127256086e-7,0.275
2.0540489476209916e-6,-2.691904027463111e-10,0.215
2.397340114938405e-6,3.429982513886154e-7,0.005
2.4411821665736445e-6,3.868885546692846e-7,0
1.7437071993752948e-6,-3.106010574149831e-7,0
2.09778779826694e-6,4.346087403961363e-8,0.05
2.0326899149241105e-6,-2.1611450776726217e-8,0
1.7902549465776842e-6,-2.640976331730327e-7,0.005
2.062271143018223e-6,7.985127026821637e-9,0
2.221033866533472e-6,1.6678025522076645e-7,0
2.308737754274558e-6,2.5442342295678433e-07,0.085
1.9466608335655864e-6,-1.0766323916777676e-7,0.19
2.1482510791748423e-06,9.391873872499624e-8,0.025
1.943958472967631e-6,-1.1037953197845506e-7,0.01
1.8807193317576898e-6,-1.7359116145976296e-7,0
2.5543234131764873e-6,5.000059869969542e-7,0.01
2.0382390931327373e-6,-1.611956913283308e-8,0
2.1135813441533414e-6,5.9308639549504603e-8,0
1.767088936076656e-6,-2.8725162756204623e-7,0.05
1.7019017228903007e-6,-3.524027323303924e-7,0
1.8822713236929784e-6,-1.720388238279913e-7,0
1.981673599698113e-6,-7.263327002848818e-8,0
1.8105582778964794e-6,-2.4377345346660027e-7,0.13
1.6949188041240337e-6,-3.593445270921869e-7,0
2.063950090852602e-6,9.643477003051792e-9,0
2.6400245572528878e-6,5.857410948506559e-7,0
2.255219901884968e-6,2.0090589034182926e-7,0.125
1.729183339405934e-6,-3.2515304855651464e-7,0.12
2.0618877451462276e-6,7.574329063397833e-9,-0.495
2.091394266066774e-6,3.705296721223661e-8,0.005
1.952403433052651e-6,-1.0191425224015394e-7,-0.37
2.0155202215735218e-6,-3.881098049718368e-8,0.04
2.2412026698708774e-6,1.8694310283118298e-7,0
1.9209406112627565e-6,-1.3338103097393362e-7,-0.64
1.657222225686455e-6,-3.9711191019864424e-7,-0.69
1.7307270878412963e-6,-3.2356516128595467e-7,0
2.028798865876111e-6,-2.552511809306157e-8,0.095
2.3077320528468955e-6,2.5343590574988806e-7,0
2.265726395794672e-6,2.114262800173572e-7,0
2.1062752152681457e-6,5.198682236196017e-8,0
2.127218465128866e-6,7.290123400893744e-8,0.135
1.8491343547692335e-6,-2.0522844505044268e-7,0
1.854874506115861e-6,-1.994041193531526e-7,0
2.3295299077031797e-6,2.7522134925905827e-7,0.14
1.9031879705308678e-6,-1.5115363924844693e-7,0.015
2.1165266829947326e-6,6.21969584047033e-8,0.035
1.914584271766372e-6,-1.3973348909845916e-7,0
2.0376131814977856e-6,-1.6671897031805828e-8,0
2.023827846628731e-6,-3.0442112858297676e-8,0
2.3562461109467225e-6,3.019521967595473e-7,0
2.2060280251029493e-6,1.5173528890966014e-7,0
1.9877785486653604e-6,-6.653269116752014e-8,0
2.1921386641651606e-6,1.3788721125673753e-7,0
2.086686063105813e-6,3.237352285467843e-8,-0.55
2.055815793031822e-6,1.5109594392326286e-9,0
2.3031589732147127e-6,2.4885764989379664e-7,-0.35
2.347895738506461e-6,2.93649496406756e-7,0
2.1818311536655784e-6,1.275155760849245e-7,0.145
2.2473490675284968e-6,1.930375324199485e-7,0.16
2.460268641950785e-6,4.0600052134798225e-7,0
2.068423889118092e-6,1.41164161171492e-8,0
2.465826198280783e-6,4.114947376865352e-7,0
2.1485837972995617e-6,9.427068132727978e-8,0.28
2.0630398197443888e-6,8.702084608458449e-9,0.015
2.0469398665659525e-6,-7.400754942765708e-9,0.005
1.9837301899769114e-6,-7.058895887757099e-8,-0.67
2.0062998827887405e-6,-4.8024673122148973e-8,0.12
