MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
5.254027940085246e-6,-1.0278866192031666e-6,0.02
5.753400082025747e-6,-5.277822679683464e-7,0
6.349685600104738e-6,6.798360436044426e-8,0.055
6.987800390264155e-6,7.064110433568916e-7,0
7.400299988671302e-6,1.118965134975225e-6,0
5.913308675303409e-6,-3.682928429754595e-7,0
6.181729500561001e-6,-9.986996532040938e-8,-0.51
5.414164670256273e-6,-8.675646951994409e-7,-0.735
6.3289118021765775e-6,4.690927954187352e-8,0
7.802257020529187e-6,1.5210611683325048e-6,0
7.076521086803695e-6,7.9466373628434e-7,0.01
5.208140250426396e-6,-1.0729718141866407e-6,0
7.151411796755263e-6,8.699705870984787e-7,-0.17
6.724295343309708e-6,4.4235239362144794e-7,0
7.817330744502796e-6,1.5360109109452402e-6,0
5.658742939175663e-6,-6.229809309898915e-7,0.145
7.318739138843334e-6,1.0373739527280712e-6,0
5.94118916175194e-6,-3.407822289080986e-7,0
6.7215361709313446e-6,4.3989226430674045e-7,0.075
6.706177165698662e-6,4.243578963503136e-7,0
7.017374470022818e-6,7.356993837670523e-7,0.025
5.533506268606579e-6,-7.479667729992645e-7,0
6.8012883507970604e-6,5.200502852181765e-7,0
7.302290161310045e-6,1.0207162829661832e-6,0.08
6.271837126745291e-6,-1.0115528559229147e-8,0
5.9487890347218e-6,-3.326323151514599e-7,0
7.285973037120017e-6,1.0051290399498703e-6,0
5.141430272756002e-6,-1.140276817568342e-6,0
6.19496938357303e-6,-8.67353524103276e-8,0.07
5.810403263225757e-6,-4.712038381488037e-7,0
6.356877010819145e-6,7.49456410897853e-8,0
6.489499494927207e-6,2.0807980697923333e-7,0
6.015812273044587e-6,-2.660171516660759e-7,0.02
6.080508230051726e-6,-2.0105327141584084e-7,0
5.97087363990135e-6,-3.1016745834056005e-7,0
6.865099973543613e-6,5.834578134517043e-7,0.04
6.579172335153045e-6,2.971935476803189e-7,0
5.304052054503323e-6,-9.771070565312012e-7,0
6.32264363767393e-6,4.0971039649284615e-8,0.075
7.025195346444296e-6,7.442941436341944e-7,0
6.990490441625298e-6,7.086015448759531e-7,0.005
5.564871758948048e-6,-7.167699159282836e-7,0
6.806103472800225e-6,5.246263978386789e-7,0
6.7699590088885155e-6,4.882230779629238e-7,0.005
5.758909797913317e-6,-5.228380275174027e-7,0.08
6.8805968370628914e-6,5.992274516586349e-7,0
5.767491609953975e-6,-5.145004342255178e-7,0
5.85489100693754e-6,-4.265280244347691e-7,0
6.092305061138398e-6,-1.8933770860651844e-7,0.205
6.7650913939930685e-6,4.838061560463736e-7,0
6.657519091206278e-6,3.7582088744991804e-7,0.025
6.155666108837323e-6,-1.2603105003283766e-7,0.075
6.314530503297469e-6,3.300199219402611e-8,0
5.987065351137701e-6,-2.943408113498247e-7,0
7.108100074569317e-6,8.266882892193906e-7,0
5.874506226083386e-6,-4.070514304588269e-7,0
6.796085673762593e-6,5.142974016697499e-7,0.015
6.358329753908183e-6,7.652317077611048e-8,0.015
6.582530897587962e-6,3.0087917430865473e-7,0.085
7.063666809862472e-6,7.8267659764375e-7,0
6.66111987673122e-6,3.798706529317686e-7,0
6.10832594336664e-6,-1.7354828441118464e-7,0.005
6.427355406795575e-6,1.460500727495928e-7,0
6.648352518920602e-6,3.665346478132214e-7,0.005
6.718617103241377e-6,4.3669823976189015e-7,0
5.9135644913237805e-6,-3.68059437406143e-7,-0.295
5.454516439801835e-6,-8.270522986392193e-7,0
6.2697395901849405e-6,-1.1859802167002442e-8,-0.635
8.028512473566731e-6,1.7470256062351864e-6,0.05
6.534914579135039e-6,2.531623735274602e-7,0.02
5.451492284990588e-6,-8.303397280012836e-7,0.04
5.7846098057056584e-6,-4.972124066598971e-7,0.005
6.5557648896085855e-6,2.74879508865844e-7,0
5.8425025470946496e-6,-4.393728276214093e-7,0.005
5.913293087178403e-6,-3.6857451653993236e-7,0.015
6.474450460368715e-6,1.9292602783438363e-7,0
5.975416355627157e-6,-3.065964718218517e-7,0
6.84632922527213e-6,5.654901904550424e-7,0
5.052566077556643e-6,-1.229522341018585e-6,0
5.769100756430929e-6,-5.126634063984392e-7,0.045
6.535088861642408e-6,2.539279060936872e-7,0
5.941286844347236e-6,-3.40646149079582e-7,0
7.2234053813822085e-6,9.423781200240677e-7,0
5.990820429342411e-6,-2.9050533885632834e-7,0
6.250118433208795e-6,-3.1087523801875963e-8,0
5.0545299796102585e-6,-1.2270842658734793e-6,0
6.026344870382866e-6,-2.5545820402816944e-7,0.02
6.43519869352593e-6,1.534623720045314e-7,0.025
7.689631211734708e-6,1.4084129501074073e-6,0
5.714426873282676e-6,-5.676922073583057e-7,0.005
6.770751332910347e-6,4.894789525000665e-7,0
6.040928109934416e-6,-2.4027942678805925e-07,0
6.436763515119258e-6,1.5498796118451618e-7,0.01
6.010919646941939e-6,-2.7059507627713587e-7,0
6.228636858840133e-6,-5.307773650709002e-8,0.055
6.128261358161045e-6,-1.5318033992406388e-7,0
5.735405983826927e-6,-5.458231618943321e-7,0
7.343954200547837e-6,1.0624796365971134e-6,0.255
6.3682766357957575e-6,8.695092062527277e-8,0
5.855588987195548e-6,-4.2595379377008415e-7,0
