MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.4934928583195348e-6,1.394719583719395e-7,0.005
2.0883806620702886e-6,-2.6563085997965975e-7,0.06
2.2183321206106075e-6,-1.356946840114226e-7,0.015
2.193568114393136e-6,-1.6042472970878574e-7,-0.44
2.2270045126877254e-6,-1.2697266342842628e-7,0
2.0132615647655176e-6,-3.406869710792515e-7,0
2.5833231889511445e-6,2.293306407397111e-7,0.045
2.2957877747747192e-6,-5.821794687277393e-8,0.045
2.0673788431254175e-6,-2.866863206141268e-7,0
3.18313930027128e-6,8.291603549454019e-7,0.01
2.7131148833461466e-6,3.5911046336933874e-7,0.02
1.95592063128975e-6,-3.9808825593790064e-7,-0.68
2.949015299407058e-6,5.950396659143431e-7,0.07
2.523330242777383e-6,1.693783364170587e-7,0
2.319319874196472e-6,-3.471206969196672e-8,0
2.356225921929417e-6,2.1823946305676855e-9,0
2.2918398935749922e-6,-6.211697773594871e-8,0
2.0529639251256997e-6,-3.0098465814420995e-7,0
2.218038391301792e-6,-1.359441097403824e-7,0
1.6780166026137742e-6,-6.760278347789361e-7,0.01
2.3054694821728687e-6,-4.857393638979523e-8,0
2.23214641871053e-6,-1.2187672237928825e-7,0.02
2.257153247651771e-6,-9.685467684983351e-8,0.05
2.3642298602677874e-6,1.022266384931303e-8,0.03
1.9695627921376025e-6,-3.8440723569177495e-7,0
2.6388128333889583e-6,2.848419542345049e-7,-0.56
2.58097105778092e-6,2.2695147314399923e-7,0.005
2.0296927971204356e-6,-3.243375713812835e-7,0.01
2.4127500428035516e-6,5.8743785805170925e-8,0.035
2.4007541968585075e-6,4.680657742450745e-8,0
2.52036399857519e-6,1.6643934761861877e-7,0
2.085896768680066e-6,-2.681344724864143e-7,0.015
2.2659808427480366e-6,-8.799890118038611e-8,0
2.4254479430767336e-6,7.144603076825185e-8,0.045
2.4105418903630813e-6,5.650693560399489e-8,0.005
2.1783789580676414e-6,-1.7561972901036782e-7,0.255
2.0418676198794945e-6,-3.1214205655549774e-7,0.145
2.634039385423796e-6,2.8007765090043435e-7,0
2.1225965250667515e-6,-2.3138228240016101e-7,0
2.100040767625578e-6,-2.539818948960049e-7,0.015
2.667773463429587e-6,3.137468781871933e-7,0.005
2.398877240242137e-6,4.48728807611598e-8,0.03
1.949439978204384e-6,-4.045301960514669e-7,0
2.637301315972552e-6,2.8331328698338876e-7,0.045
2.3287627457958856e-6,-2.5252433531464115e-8,0.02
2.5761596234722994e-6,2.2215365146183163e-7,0.02
2.5734062882800504e-6,2.194619519485519e-7,0
2.198338208395638e-6,-1.5564987796146125e-7,0
2.7286220765343262e-6,3.746020173989173e-7,0
2.3158853572357905e-6,-3.814916498590115e-8,0
2.5275419428920157e-6,1.7352907880574532e-7,0.015
2.4660731461969637e-6,1.1206325112311788e-7,0.005
2.3427313588992937e-6,-1.1270239665961413e-8,0.09
2.464976778588766e-6,1.1097723017050587e-7,0.04
2.359271763977404e-6,5.23717241907029e-9,0
2.0763048664168033e-6,-2.7770444799679604e-7,0.15
2.5351598954994303e-6,1.8120244222430414e-7,0
2.231662421088672e-6,-1.2226538750548244e-7,0
2.0886959256943226e-6,-2.6533534964401364e-7,0
2.385715578003401e-6,3.171390190737089e-8,0.06
2.160740161169665e-6,-1.933047184188297e-7,0
2.0752982319823468e-6,-2.7873328101446494e-7,0.015
2.451981298287485e-6,9.800662338022015e-8,0
2.1008323228033023e-6,-2.5317410773606497e-7,0.155
2.071130782086641e-6,-2.8294407762530226e-7,0
2.2585955113367e-6,-9.530980690397595e-8,0
2.6590819964595963e-6,3.0514749238153007e-7,0
2.0082934383977824e-6,-3.4571321459342387e-7,-0.705
2.1220904954071763e-6,-2.3186003044461944e-7,0
2.323813382828907e-6,-3.01499373850378e-8,0
2.5152977601255673e-6,1.6128559044481517e-7,0.01
2.387530615874673e-6,3.3552058421593147e-8,0
2.2564245697803462e-6,-9.760010885817571e-8,0.02
2.2953013335232706e-6,-5.8679038554831916e-8,0
2.238543326466745e-6,-1.1546060354417076e-7,0.085
2.5133223714315752e-6,1.5931222592246995e-7,0
2.47195950056565e-6,1.179469531481514e-7,0.01
2.4186228317327245e-6,6.462407136698101e-8,0.06
1.9436672705654934e-6,-4.1036548062978186e-7,0.02
2.2607575860771292e-6,-9.321045920440695e-8,0
2.5553802682910754e-6,2.0142739928064034e-7,0
2.563652349143716e-6,2.0968507618901455e-7,0
2.3058380673356585e-6,-4.819109816422973e-8,0.005
2.5333220415551655e-6,1.7930349567152338e-7,0.005
2.6492233596864814e-6,2.952603854577962e-7,0
2.2180751586239756e-6,-1.3590273291452792e-7,0
2.2279091722809783e-6,-1.2615127581772078e-7,0
2.26668424156108e-6,-8.729652701044976e-8,0
2.6649090717509494e-6,3.1098985906030665e-7,0
1.8370039413028286e-6,-5.169617824651862e-7,0
2.6908711820356374e-6,3.3690605190039855e-7,-0.265
2.4509765937097056e-6,9.70098496427818e-8,0
2.7108560454975584e-6,3.5686300053017207e-7,0.035
2.1618413487113534e-6,-1.9217865435627869e-7,0.02
2.6742212531665467e-6,3.20252095740714e-7,-0.605
2.6827633734967755e-6,3.2874390833770304e-7,0
2.241091139731911e-6,-1.1294298918773648e-7,0
2.4195482891380516e-6,6.553121336017042e-8,0.01
2.3812015605610965e-06,2.7134313553833777e-8,0
2.906712946724961e-6,5.527714717162846e-7,0
