MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.4818914492150313e-6,1.2787190950602768e-7,0.005
2.0824877968290913e-6,-2.7152031226496123e-7,0.105
2.1760364664626514e-6,-1.7798677046709788e-7,0.015
2.1830999013752825e-6,-1.7090233735472804e-7,0.175
2.233372291719882e-6,-1.206043435275639e-7,0
2.031169290771919e-6,-3.227774891695345e-7,0
2.6136302346477837e-6,2.596414016003967e-7,0.065
2.3737319699243997e-6,1.972517534143403e-8,0.035
2.0797996016560606e-6,-2.7426514239259346e-7,0
3.1754676122461386e-6,8.214846132797993e-7,0.01
2.7142172681064337e-6,3.602193043200641e-7,0.03
1.9477533832594926e-6,-4.0625580897568627e-7,-0.675
2.9569645140825947e-6,6.02986884197243e-7,0.06
2.516323295587031e-6,1.6237703180432828e-7,0
2.33587255065722e-6,-1.8161750461320736e-8,0
2.4253888476896356e-6,7.135448068185113e-8,0
2.2255948473018994e-6,-1.2836003257576946e-7,0
2.1126153515863706e-6,-2.41323491050327e-7,0
2.2418853591536543e-6,-1.120900670409375e-7,0
1.7293393804669161e-6,-6.246959774275362e-7,0.025
2.3437446369538826e-6,-1.0298287136389916e-8,0
2.243333972497471e-6,-1.1068728056340404e-7,0.02
2.277959702247211e-6,-7.604787936599245e-8,0.05
2.4141053320883804e-6,6.009975219378738e-8,0.035
2.00915056766023e-6,-3.448126415428465e-7,0
2.599195862514903e-6,2.452180214213007e-7,0.23
2.5465084130377294e-6,1.9248334485799657e-7,0.005
2.03663328659253e-6,-3.173948816609373e-7,0.015
2.389062329055204e-6,3.505720103047505e-8,0.05
2.3591332951824947e-6,5.188967201474881e-9,0
2.503626705633907e-6,1.4969513816465163e-7,0
2.114304806797385e-6,-2.3972612003320125e-7,0.005
2.2662475874298277e-6,-8.772792542688368e-8,0
2.439964622972261e-6,8.596390977722024e-8,0.055
2.3899251124218125e-6,3.5892598552189626e-8,0.005
2.23737253427435e-6,-1.1662719910043862e-7,0.165
2.0590112394864763e-6,-2.95002506964237e-7,0.06
2.6152606458385364e-6,2.61305993731753e-7,0
2.105554513613367e-6,-2.4842259007284983e-7,0
2.0832433218989317e-06,-2.707715750610573e-7,0.06
2.6874134938770353e-6,3.333862502447049e-7,0.005
2.4420246183393475e-6,8.802214749414893e-8,0.04
1.9400248116914423e-6,-4.139499920252643e-7,0
2.6839060632614735e-6,3.29912767891849e-7,0.025
2.346368420320192e-6,-7.649921408559024e-9,0.015
2.4971101249961544e-6,1.4309808159862492e-7,0.015
2.512302457252678e-6,1.583449323944164e-7,0
2.137106056278273e-6,-2.1687963913941123e-7,0
2.7367441526223016e-6,3.827199954498095e-7,0
2.3169977266609593e-6,-3.703360820228596e-8,0
2.5989338197701e-6,2.4491822717576106e-7,0.01
2.4649050700686447e-6,1.1089967125343936e-7,0.01
2.3663248865902604e-6,1.2325080261943455e-8,0.095
2.4685126358028195e-6,1.1450936518553334e-7,0.025
2.380108774783417e-6,2.6077915512567883e-8,0
2.0384672479770355e-6,-3.1554781246723173e-7,0.075
2.509701226385405e-6,1.55739455200421e-7,0
2.245235110946512e-6,-1.0870024885978324e-7,0
2.1189155003776336e-6,-2.3511437277745628e-7,0
2.363560830410744e-6,9.553518959815044e-9,0.035
2.1328511359360856e-6,-2.2119470837300704e-7,0
2.0710433410958174e-6,-2.829861281927748e-7,0.015
2.4161001173364474e-6,6.211928805677225e-8,-0.425
2.0543756950178366e-6,-2.9962530391502984e-7,-0.505
2.075462549343415e-6,-2.7861668758344396e-7,0
2.29653037295631e-6,-5.737968261421145e-8,0
2.6416540028981237e-6,2.8772650053632274e-7,0
2.061487285670564e-6,-2.925203030240686e-7,0.16
2.115217867671048e-6,-2.387386882407583e-7,0
2.3061481758439355e-6,-4.781306735091029e-8,0
2.516820163138471e-6,1.6280977687577192e-7,0.01
2.38056508747417e-6,2.6593317779544102e-8,0
2.234681484249358e-6,-1.1934531047974594e-7,0.015
2.313157068192397e-6,-4.082284071560416e-8,0
2.233362033272879e-6,-1.2063715163546097e-7,0.15
2.4767995484569605e-6,1.227821926852446e-7,0
2.4758539506258764e-6,1.2183956572264787e-7,0.01
2.441996360603502e-6,8.799674200976603e-8,0.04
1.936263051391323e-6,-4.177708588987139e-7,0.01
2.256257672712275e-6,-9.771245231549041e-8,0
2.5340028630857694e-6,1.800514433825118e-7,0
2.605344807645907e-6,2.51369970126758e-7,0.325
2.2668597615115345e-6,-8.717217894138596e-8,0.005
2.5240332124291358e-6,1.70012721191215e-7,0.005
2.6857582114550324e-6,3.3179456553178446e-7,0
2.2683332751588314e-6,-8.564190113191649e-8,0
2.262765244472318e-6,-9.129024237330974e-8,0
2.3099178921907537e-6,-4.40681241276053e-8,-0.35
2.616698906262769e-6,2.6277690174325575e-7,0
1.871708836585425e-6,-4.822516648395059e-7,0
2.7247752176598606e-6,3.708104246585853e-7,-0.455
2.4307777561588944e-6,7.681649178914452e-8,0
2.6887999474078107e-6,3.348019715548878e-7,0.03
2.1616659874996118e-6,-1.9234882738083936e-7,0.045
2.6420459019090563e-6,2.880763265356023e-7,-0.505
2.6686688329142937e-6,3.146453410762806e-7,0
2.177195968105591e-6,-1.7684019369745842e-7,0
2.48005852585848e-6,1.2605244018248918e-7,0.03
2.333021740434311e-6,-2.104920514889308e-8,0
2.9012640948537093e-6,5.473206049771973e-7,0
