MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
5.3732158443525545e-5,2.7261914040221935e-6,0.02
4.383253418746484e-5,-7.173079634108515e-6,0.265
5.319656829983145e-5,2.204825930469112e-6,0
5.1141622716169805e-5,1.5182722126083626e-7,0
6.092585899053234e-5,9.965887577890742e-6,0
4.170364528235076e-5,-9.308374126835717e-6,0.075
4.395279996639179e-5,-7.053589668458149e-6,0.185
5.749817000789341e-5,6.498380771237655e-6,0.025
4.7600074026618e-5,-3.3927491108043385e-6,0
5.135745563566084e-5,3.36239839674457e-7,0
5.46237088037964e-5,3.6452526428265576e-6,0
5.189099060437396e-5,8.81864410363642e-7,0.015
4.698438761410085e-5,-4.0141679834615475e-6,0
5.0766663343358685e-5,-2.5637274045919864e-7,0
5.2655407337683274e-5,1.6398514368942686e-6,0
5.693753708650382e-5,5.945242400389738e-6,0.2
4.694513621188075e-5,-4.054123804805854e-6,-0.185
6.05326043279233e-5,9.532574167585018e-6,0.025
5.120396598409857e-5,2.3575715462575974e-7,0
5.594365301489768e-5,4.9311162749932084e-6,0.005
5.534254370609335e-5,4.364669116263542e-6,0
5.8712567958205006e-5,7.724889306043315e-6,-0.595
5.851002327736954e-5,7.514697087324662e-6,0.05
5.901891034211383e-5,8.021956168539069e-6,0.04
4.9748519634908154e-5,-1.2500671836596089e-6,0.305
4.869322822709597e-5,-2.2968576461018797e-6,0
5.262837395369512e-5,1.6482285307956035e-6,0
4.505165271701052e-5,-5.9545365186430835e-6,0.155
5.717814257749269e-5,6.188325345737877e-6,0.33
4.806466442403715e-5,-2.940689817295672e-6,0.07
4.7066019792179526e-5,-3.935181312611502e-6,-0.69
4.7893828756682045e-5,-3.091420307547721e-6,0
5.754105096804632e-5,6.541429778296748e-6,0.035
4.348570651135087e-5,-7.535420475808241e-6,0.01
4.646214854446786e-5,-4.501966096445153e-6,0
4.870231924984394e-5,-2.306529184281092e-6,0.035
5.24251542562605e-5,1.4069675689681872e-6,0.005
5.368545050774215e-5,2.698950908233688e-6,0
5.456271583909152e-5,3.54072121227178e-6,0
5.418747142085915e-5,3.2019836803998115e-6,0
5.650770746249352e-5,5.527797719893091e-6,0
4.413820850526933e-5,-6.8452760639203805e-6,0
6.299856914543482e-5,1.200725174467343e-5,0.055
5.585078494241278e-5,4.829548957301366e-6,0
5.515736923419089e-5,4.165509823575997e-6,-0.63
5.060185331179979e-5,-4.0292188525525853e-7,0.05
5.791729336446067e-5,6.927153257869634e-6,0.245
5.113900514507998e-5,1.3675110291433422e-7,0.095
5.817649002864216e-5,7.169620099758411e-6,0.005
5.612239816137042e-5,5.1384440895330115e-6,0
4.9983707218054524e-5,-9.998075133160756e-7,0
5.0323002917806566e-5,-6.718931193866462e-7,0
4.079262520971883e-5,-1.0219530162531853e-5,0.1
5.1113949015029223e-5,1.1407366893256831e-7,0.14
4.911374370829598e-5,-1.8998105886730565e-6,0.015
4.688745935523206e-5,-4.1021423735315694e-6,0
5.050327315941854e-5,-5.044709142226766e-7,0.005
4.607084999754358e-5,-4.934941445180474e-6,0.115
4.6197258951477535e-5,-4.8319827432086185e-6,0
4.297839921067052e-5,-8.048037816872355e-6,0
5.4519949488565894e-5,3.5440486545823546e-6,0
5.5410309241420916e-5,4.4096680509897455e-6,0.04
5.222446303085138e-5,1.2395801375902905e-6,0
6.16846782069723e-5,1.0691318168411512e-5,0.055
6.114288249840448e-5,1.0159174621942046e-5,-0.5
5.564246987827126e-5,4.654297888264658e-6,0
4.292906063975262e-5,-8.057961659025392e-6,0
5.264469741287675e-5,1.6431600662647484e-6,0.07
5.613380614682683e-5,5.16495904138714e-6,0
5.2643367916042166e-5,1.6506216813394481e-6,-0.23
5.5686197394448214e-5,4.684548672657663e-6,0.03
5.8080569775211576e-5,7.086413273815761e-6,0.09
5.684032860112962e-5,5.8381013491182185e-6,0.01
4.3716701339212345e-5,-7.2973477463694755e-6,0.025
4.736560476536265e-5,-3.6326980673606622e-6,0
4.1895274910003044e-5,-9.08297556397708e-6,0
4.615273441575687e-5,-4.837396533143856e-6,0
5.0850048522168755e-5,-1.2992603917516554e-7,0
4.690802756471796e-5,-4.103940903918413e-6,0.02
5.907898717117443e-5,8.097369105566909e-6,0
5.491762407801212e-5,3.924118024143941e-6,0.24
4.7349138492683843e-5,-3.6386255628256813e-6,0
5.9467553032960164e-5,8.453506701583402e-6,0
4.945356040156589e-5,-1.5473533170357045e-6,0.175
5.7308974532979976e-05,6.315738913824642e-6,0.16
5.6894062839363956e-5,5.9044918786427256e-6,-0.61
5.1369337715400305e-5,3.586064810445766e-7,0.01
5.183488814578933e-5,8.428145786387731e-7,0
4.731507027481924e-5,-3.7045851826267297e-6,0.005
4.997344780003015e-5,-1.0293043147990843e-6,0.09
4.861069853880972e-5,-2.362442279501553e-6,0
4.5933999029398164e-5,-5.072590803437693e-6,0.095
4.555449958620292e-5,-5.455860375199184e-6,0.03
4.4143744129532516e-5,-6.875517961792421e-6,0.005
4.617503981470486e-5,-4.792145926161839e-6,0
4.841885121553998e-5,-2.6042481219645807e-6,0
5.3422157071488816e-5,2.4215040534403265e-6,0.08
5.1479567847968855e-5,4.84809197834335e-7,-0.44
5.151870871945931e-5,5.330705065259566e-7,0
5.1552191502307444e-5,5.54779060606414e-7,0.24
