MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
1.8445726661906885e-6,-3.1137592124252936e-7,0
1.7417289668806464e-6,-4.1422585026207327e-7,0.005
2.269271374808329e-6,1.1334338046120606e-7,0.01
2.376319205728655e-6,2.2042090135176995e-7,0.13
2.034686299755871e-6,-1.211357834518534e-7,0
2.6071262976936967e-6,4.5124938217788735e-7,-0.45
2.8088354870827392e-6,6.52953271781942e-7,0.095
2.021460003577036e-6,-1.3447716697090327e-7,0.005
2.1676370788011024e-6,1.1758827483387968e-8,0
2.1634643010772127e-6,7.530575166780906e-9,0.01
1.836002266370009e-6,-3.1990659703440283e-7,0
1.971589594386866e-6,-1.8435177248532497e-7,0
1.8661844715568578e-6,-2.897454561479051e-7,0.03
2.00986338871006e-6,-1.4606044734466473e-7,0.035
1.9453663068911066e-6,-2.1052883407146615e-7,0
2.10545290537344e-6,-5.0375169370342475e-8,0
1.9385170870470912e-06,-2.1737415072331512e-7,0
2.1436368149283134e-6,-1.2287189779525143e-8,0.02
2.5104536886391474e-6,3.5456975376657597e-7,-0.585
2.2224608230502555e-6,6.656555599060531e-8,-0.385
1.8710397135856622e-6,-2.849194727649884e-7,0
2.132462272103543e-6,-2.34449556063554e-8,0.175
2.0687278164364205e-6,-8.718516805616972e-8,0.115
2.0417258614455643e-6,-1.1418683374564421e-7,0.115
2.1354346764369105e-6,-2.041081933190636e-8,0
1.6174625392611074e-6,-5.384333657498797e-7,0
2.1528333644786213e-6,-3.0527517402845205e-9,0
1.7061382453390599e-6,-4.49825541879445e-7,0
1.8867435273387407e-6,-2.6917448465391127e-7,0.17
1.670180024533524e-6,-4.857838405702974e-7,0
2.3856080535068086e-6,2.2974929873131877e-7,0
2.3401656479908173e-6,1.8425109157282905e-7,0.02
2.1431627536904097e-6,-1.2761490022494826e-8,0.01
2.0989952844521275e-6,-5.691564226750767e-8,0.12
2.0684684500980808e-6,-8.741549046287211e-8,0
2.104037796523983e-6,-5.190344069871955e-8,0
2.2712549348708566e-6,1.1541258871539118e-7,0
2.2640079334815947e-6,1.0812927237036085e-7,0
1.9894809314687414e-6,-1.6635510030560406e-7,0
2.18994433203659e-6,3.404176496912825e-8,0.19
2.0004273873359784e-6,-1.554933604475117e-7,0.06
2.278767223426267e-6,1.2288027052165252e-7,0
2.091022319181144e-6,-6.485708667236523e-8,0
1.9920679066735947e-6,-1.6374562582188722e-7,0
2.2773516790991144e-6,1.214492308715398e-7,0.125
2.0418306084841273e-6,-1.140770551549819e-7,0.32
2.356666812668448e-6,2.0078087039909763e-7,0
2.4035620308204817e-6,2.4762691708812847e-7,0
2.1982952943801525e-6,4.2388848773278196e-8,0.11
2.9098925590225604e-6,7.540249945331423e-7,0.265
2.2428358871748596e-6,8.692117158648482e-8,0.02
2.380476973280682e-6,2.245746690843209e-7,0.1
2.020226636277731e-6,-1.3569906173294122e-7,0.025
2.277624015281416e-6,1.217500324918186e-7,0
2.2913250583470366e-6,1.353922118940698e-7,0
1.7258473176586199e-6,-4.301209985457799e-7,0
2.1655465757015986e-6,9.67609256219415e-9,0
2.4014729060353556e-6,2.4555145175686464e-7,0.015
2.114565175249122e-6,-4.134356818619178e-8,0.13
2.2161482419881434e-6,6.022841773034581e-8,0.02
2.2163550638279986e-6,6.041911149390344e-8,0
1.917922488690636e-6,-2.379694047394132e-7,0
2.665977024162574e-6,5.10179112637732e-7,0
2.2000108647069563e-6,4.410090454598503e-8,0.06
2.0573513378721335e-6,-9.854495550187803e-8,0
1.9014069676108028e-6,-2.544549703187293e-7,0
2.0992734495091567e-6,-5.665992864445357e-8,0
1.674051482980661e-6,-4.81857660380447e-7,0
2.256942710448925e-6,1.0103766694913308e-7,0.105
2.366192092383523e-6,2.1031581164676627e-7,0
2.3822025702603305e-6,2.2627451860879334e-7,0
2.544079413744401e-6,3.881801653699002e-7,0.05
2.4121219265864846e-6,2.5627509978032315e-7,0
2.3689600629588556e-6,2.1310804294571993e-7,0
2.2437542050744222e-6,8.784544195228338e-8,0.07
2.2540595837284125e-6,9.815652479150395e-8,0.14
2.0384662190783734e-6,-1.1736967015507637e-7,0
2.1540166250266224e-6,-1.82801351666928e-9,0
1.945684170738359e-6,-2.1021907691376463e-7,0
2.745064045452858e-6,5.891900634635849e-7,0.335
2.18853986443197e-6,3.2650225039176915e-8,0
2.1404690107034055e-6,-1.544136035980248e-8,0.105
2.325371127659528e-6,1.6954930941226466e-7,0
2.319744368343276e-6,1.638421062005735e-7,0.1
1.9193649054372637e-6,-2.3658278301585956e-7,0.005
2.318961952509319e-6,1.6306417537081952e-7,0.2
2.1875584839356736e-6,3.170720981937602e-8,0
2.4360589557154296e-6,2.8014593074610075e-7,0.015
2.101290291627835e-6,-5.458602854724326e-8,0
2.4165541028589495e-6,2.606552594841549e-7,0.11
2.5039892852590244e-6,3.4812033904041415e-7,0
2.1616118211513607e-6,5.712353684517169e-9,-0.525
2.005270959106993e-6,-1.506588756311489e-7,0.02
2.049641522030066e-6,-1.0625630164740052e-7,0
2.191262929068323e-6,3.534773199254104e-8,0.03
2.396235072097093e-6,2.403387999899698e-7,0.155
1.99986496034029e-6,-1.560726394084222e-7,0.01
2.344840562629057e-6,1.8895499705906538e-7,0
2.1721097041014178e-6,1.6243386608549847e-8,0
2.124214525756183e-6,-3.170047410239185e-8,0.065
