MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.203754091227076e-6,4.9017060114175946e-8,0
2.1036527811430935e-6,-5.112286990571757e-8,0.015
2.3258217329074542e-6,1.7109081243416036e-7,0
2.4876234379287677e-6,3.329030227061658e-7,0
2.66689050994704e-6,5.121828075621559e-7,0
2.276922635637121e-6,1.2218508739003652e-7,-0.59
2.6922995864726423e-6,5.375663605139414e-7,0.085
2.29351057672235e-6,1.387938507591002e-7,0
1.7118663381755393e-6,-4.428720525062602e-7,0
2.68371138989325e-6,5.289589157586594e-7,0.005
2.1480610756021423e-6,-6.689918737867728e-9,0.12
1.9803077648243004e-6,-1.7446391684050598e-7,0.02
1.944560085752768e-6,-2.1020740464838816e-7,0.045
2.419124080763129e-6,2.6439479392903476e-7,-0.52
2.0600571622304842e-6,-9.463060193726225e-8,0
2.202658977051047e-6,4.7888404786089464e-8,0
1.8559175179223094e-6,-2.988930183267513e-7,0
2.3306839548416018e-6,1.7591857704835068e-7,0.01
2.2225283478724066e-6,6.774201818049441e-8,0
2.1017621872058126e-6,-5.3023494065995715e-8,0.005
2.410002741842536e-6,2.5526344650361745e-7,0.125
2.238817284944096e-6,8.407434513357793e-8,0.215
2.3233638419528855e-6,1.6865094774165534e-7,0
2.068135908718965e-6,-8.659970512414628e-8,0
2.1885958908571395e-6,3.382861600509379e-8,0.015
1.7185923119683794e-6,-4.3612960267169767e-7,0
2.437500626185203e-6,2.827666418120378e-7,0.215
2.1666652450198574e-6,1.1995311938184372e-8,0
2.2792343238363305e-6,1.2449361230237877e-7,0.255
1.5391994449734972e-6,-6.155796432355531e-7,0.115
2.204386196004492e-6,4.9645771316719764e-8,-0.54
2.0130319958111367e-6,-1.4170585403261438e-7,0
2.0976128840802367e-6,-5.7097237016745515e-8,0
1.9801027449010276e-6,-1.7462239417564974e-7,0
2.023831226992947e-6,-1.3093424321597435e-7,0.045
2.0523292250521093e-6,-1.0242514115244016e-7,0.145
2.0258689551717093e-6,-1.2888665122834376e-7,0.145
2.007454242630474e-6,-1.4730989087885503e-7,0.06
2.0389217735461547e-6,-1.1579323710986245e-7,0
2.4156641803178246e-6,2.6093971804419526e-7,0
2.438649693056974e-6,2.8391553696660575e-7,0.235
2.0524195214582177e-6,-1.0233407016779771e-7,0.18
2.4086571427338555e-6,2.5391171442568085e-7,0.055
2.064312832963979e-6,-9.040284882466664e-8,0
1.9754330916403082e-6,-1.793214825279721e-7,0.3
2.086144799021067e-6,-6.859332579156608e-8,0
2.7409060202249975e-6,5.862333489775607e-7,0
2.0404464686918442e-6,-1.1428779347344432e-7,0
2.1587064077234994e-6,3.9905188820021915e-9,0
2.276241500190351e-6,1.2153820152238647e-7,0
1.9336004831126865e-6,-2.211409378022333e-7,0
1.6791035843341672e-6,-4.756651658943678e-7,-0.735
2.0631763297465867e-6,-9.159220228316389e-8,0.02
2.3577233812969256e-6,2.0298235501980953e-7,0.155
2.444404385929657e-6,2.896406637697968e-7,0
2.576054530150044e-6,4.213374884393106e-7,0
2.0906910937996494e-6,-6.405501770501143e-8,-0.555
1.9670561626696077e-6,-1.8767815941955756e-7,0
2.078286854517232e-6,-7.650010024007337e-8,0
2.3973864238922112e-6,2.426536370420118e-7,-0.68
1.8360968898085166e-6,-3.1869654275817894e-7,0.005
2.03864572208548e-6,-1.1609439604265414e-7,0
2.128607954228457e-6,-2.616041443803674e-8,0.015
2.0648456879241345e-6,-8.990284924459413e-8,-0.64
2.0778168939735695e-6,-7.695074377589428e-8,0.015
2.444706697245229e-6,2.8994637541801537e-7,0
2.18824751329604e-6,3.350446284910991e-8,-0.67
2.084566965755637e-6,-7.016863798281481e-8,0
2.5220307002374345e-6,3.672771927054619e-7,0.02
1.7339197127375088e-6,-4.208665690219604e-7,0.005
2.014803108280792e-6,-1.3995300034708169e-7,0.155
2.1358190466891073e-6,-1.8903815629522926e-8,0
2.335928460970461e-6,1.8116927616274036e-7,0.02
2.522375330173632e-6,3.676615051156906e-7,0
2.037212113945182e-6,-1.1750423256573495e-7,0
1.9964618102857144e-6,-1.5830605026745381e-7,0.03
2.2348844043427046e-6,8.015511365033756e-8,0
2.296121777668567e-6,1.413455409066122e-7,0.005
2.4375508394896234e-6,2.8285536212813156e-7,0
2.4374837711768144e-6,2.827786892889428e-7,0
2.2311721672760034e-6,7.641122055812577e-8,0.02
1.9515666160831245e-6,-2.031895912368853e-7,0.275
1.7439755607041726e-6,-4.1078260379467937e-7,0
2.377063125765055e-6,2.2236715997270285e-7,0
2.2979824577518667e-6,1.4323266507965117e-7,0.075
2.391925662332208e-6,2.3722437475948154e-7,0
2.059479943699698e-6,-9.528757360433016e-8,0.025
1.939912727533201e-6,-2.148612715319187e-7,0.025
2.337955413036245e-6,1.8322043245366794e-7,-0.645
2.100034962054834e-6,-5.4728013466065486e-8,0.035
1.761276518252819e-6,-3.934967770735653e-7,0.055
2.130383661854815e-6,-2.4326763401472108e-8,0
2.0326352993713126e-6,-1.2211571004172584e-7,-0.695
2.641784205073553e-6,4.870765850523151e-7,0
2.179369743423641e-6,2.4602558364450467e-8,0.005
2.33308062678263e-6,1.7835013337852424e-7,0
1.9046458652146938e-6,-2.501226182261007e-7,0.065
1.8988143432243343e-6,-2.559662103501781e-7,0.015
2.231286715356831e-6,7.653114149630546e-8,0.055
2.1189728151906605e-6,-3.579072803738814e-8,0.02
