MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.487103909835948e-6,2.319930707750384e-7,0
2.1749854260539088e-6,-8.023765999287668e-8,0
2.1209357289555018e-6,-1.3427122627529542e-7,0
1.9540764335779374e-6,-3.01069083672445e-7,0
2.2654920113682633e-6,1.0377669760197605e-8,0
2.427507585836548e-6,1.7235554872485627e-7,0.2
2.2630312473922827e-6,7.89562255465448e-9,0
2.244325970502752e-6,-1.0896984103947461e-8,0
2.5182889294743876e-6,2.6319491664095196e-7,0
2.268894027825898e-6,1.3702900062972922e-8,0.015
2.794591057896147e-6,5.395369427685371e-7,0
2.09340455273588e-6,-1.6177123633831503e-7,0.055
2.029948957176281e-6,-2.2512477685365794e-7,0
1.9854664777063566e-6,-2.6973814273190123e-7,0
2.5088116269515467e-6,2.5367649716945273e-7,0
2.235574020483446e-6,-1.9644023346310212e-8,0.005
1.967210559296203e-6,-2.8792897868334945e-7,0
2.1514942817394093e-6,-1.0368347826417157e-7,0.03
1.9934824189020588e-6,-2.617275969063471e-7,0
1.977191554031704e-6,-2.7792497430068064e-7,0
2.1732802038937048e-6,-8.192098161052819e-8,0
2.058032245454478e-6,-1.9714623086919403e-7,0.07
2.155546679446354e-6,-9.961175208239581e-8,-0.315
2.2492945476852056e-6,-5.847571200034984e-9,0
2.149504874995546e-6,-1.05632137128997e-7,0
2.210497911267589e-6,-4.471065189415313e-8,0
2.139882251418023e-6,-1.152843028967565e-7,0.205
1.960856431891363e-6,-2.943624561946301e-7,0
2.3453388719105683e-6,9.023608069314015e-8,0
2.295829736104691e-6,4.0637963275580443e-8,0
2.2896103812376647e-6,3.4497999076288365e-8,0
2.320159784152441e-6,6.496346903417383e-8,0
2.1686720323158877e-6,-8.647924490068349e-8,0
2.5818769976042145e-6,3.267380870075609e-7,-0.565
2.31665908238997e-6,6.14986198343992e-8,0.13
2.3106412120577375e-6,5.541133442976687e-8,0
2.4605493584854262e-06,2.0544727482252335e-7,0
1.9743516357519295e-6,-2.8077270391946295e-7,0
2.408144171681554e-6,1.5301587444394028e-7,0
2.459601733242977e-6,2.0443343521914236e-7,0.03
1.7739651043096733e-6,-4.812225667255587e-7,0.12
1.9634483670155946e-6,-2.9172373281094453e-7,-0.665
2.227368801361735e-6,-2.780377084732333e-8,0.04
2.1589308045926276e-6,-9.620287190148514e-8,0
2.1839530949323665e-6,-7.119702275071304e-8,0
2.216178348254878e-6,-3.89633497599462e-8,0
2.3871431460761025e-6,1.3196900519762967e-7,0.015
2.2360603429989568e-6,-1.9106657415113305e-8,0.115
1.9552698682252334e-6,-2.9989854060497034e-7,-0.22
2.44860806160116e-6,1.9344356503248062e-7,0.03
2.211378875066795e-6,-4.3767342590705915e-8,0
1.9128348018251453e-6,-3.4235094946766245e-7,0.045
2.2438728867149385e-6,-1.1323405895713456e-8,0.005
2.3006718489589753e-6,4.554378273680104e-8,0
2.580081927653396e-6,3.2496084791999723e-7,0
2.36573906172237e-6,1.1060079694480419e-7,0
2.7007345628511165e-6,4.456671470681739e-7,0
2.2316840498687257e-6,-2.3483460734885497e-8,0.105
2.1124438569039533e-6,-1.4267854493321685e-7,0
2.681363065847893e-6,4.2626065790085655e-7,0
2.1340394511188462e-6,-1.2116071608947454e-7,0.005
1.8727646222061438e-6,-3.824464909663039e-7,0
2.551087297533072e-6,2.9591295338304844e-7,0.01
2.597160767667985e-6,3.4202689776441364e-7,0
2.2275887231549095e-6,-2.750708221588294e-8,0
2.1020614483867613e-6,-1.5313354493118325e-7,0.005
2.35226624232142e-6,9.70725359716873e-8,0.01
2.3040528714407654e-6,4.8855014345150495e-8,0
2.1948824299031286e-6,-6.01791698745524e-8,0
2.2787034629956736e-6,2.3515567867393728e-8,0.005
2.424195579260599e-6,1.6901273110825344e-7,0.005
1.9689910207408863e-6,-2.8617466145131053e-7,0
2.1677778645632485e-6,-8.732272602396396e-8,0
2.3866194857563212e-6,1.314900728027757e-7,0
2.3371274902267613e-6,8.194101794978258e-8,0.005
2.755676359809807e-6,5.004845524836377e-7,0
2.122387925831407e-6,-1.3276556020846985e-7,0
2.3487369138454765e-6,9.36071455115428e-8,0
2.2633032498754588e-6,8.214754526614244e-9,0
2.5027268006833015e-6,2.4761483047863744e-7,0
1.925232140966206e-6,-3.2992739925741255e-7,0
2.3549896981540376e-6,9.989234672380665e-8,0
2.4877400327779386e-6,2.3253619203855715e-7,0
2.51127083806984e-6,2.5609391730130326e-7,0
2.1721814728136233e-6,-8.300321721887993e-8,0.02
2.6127733387860447e-6,3.576832554408327e-7,0
2.2143095014480247e-6,-4.089043964206063e-8,0
1.9952122230042122e-6,-2.5998019355266686e-7,0.01
2.048529662845984e-6,-2.0663362860773303e-7,-0.125
2.578518973010971e-6,3.233248783673925e-7,0
1.8002060909416673e-6,-4.549869735315237e-7,0.04
2.380871070553869e-6,1.257417952787998e-7,0
2.058993368859231e-6,-1.9620993581215272e-7,0
2.2078590222717365e-6,-4.730376369777023e-8,0.185
2.324553076038891e-6,6.942889125172158e-8,0
2.267869434051448e-6,1.276976617836656e-8,0
2.0160919554444024e-6,-2.3904738823521397e-7,0
2.2409394760275786e-6,-1.4167752457883155e-8,0
2.46681865914323e-6,2.11666181333392e-7,0.145
2.3382310302852888e-6,8.304204599074438e-8,0
