MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.199833221756041e-6,1.1018331426693173e-7,0.02
2.0846592978074483e-6,-5.012351112498869e-9,0.005
2.3323952882588225e-6,2.4283893701626534e-7,0
2.002670918604081e-6,-8.697071498364738e-8,0.17
1.7552312574869698e-6,-3.344046033643133e-7,0
2.4142797966439812e-6,3.2471550551804727e-7,0
1.793447155102309e-6,-2.9620231479898786e-7,0.155
2.0878375824997277e-6,-1.827463253500916e-9,0.005
2.521396673999042e-6,4.3179058753728405e-7,0
2.031354946641979e-6,-5.825760443667338e-8,0
2.2701050826107223e-6,1.8050946979319971e-7,0
2.0538289572279108e-6,-3.581295111521055e-8,0.11
2.1127802364864606e-6,2.3121851373542058e-8,0.01
2.4052402947002147e-6,3.1561728106088706e-7,0.17
2.2167609897727536e-6,1.271692532589519e-7,0
1.87150770782493e-6,-2.1812166255408273e-7,0
2.027945695566425e-6,-6.170697693097527e-8,0.02
1.8885494850472598e-6,-2.0108505758564821e-7,0
1.6550304919305299e-6,-4.346449577197209e-7,0.005
2.7864234941430283e-6,6.967838766702705e-7,0
1.9490095933920275e-6,-1.4065559269027527e-7,0.01
2.1509785072440686e-6,6.130363870315847e-8,0.005
2.1749807689839266e-6,8.543841543695585e-8,0
2.032764176661891e-6,-5.684438955488869e-8,0
2.2640882408177393e-6,1.744798681962978e-7,0
2.1115170946777856e-6,2.1868390364110367e-8,0.025
1.8858931233793686e-6,-2.0374713411097644e-7,-0.54
2.060664443222986e-6,-2.8975694874588953e-8,0.125
1.9016350413075362e-6,-1.879876800336966e-7,0
2.60472939258154e-6,5.151376568324206e-7,0
2.209630058452644e-6,1.2000088618124848e-7,0.24
1.999873410922328e-6,-8.976307265540218e-8,-0.685
2.798758310232249e-6,7.091598972619461e-7,-0.585
2.4792887406433164e-6,3.896695674182604e-7,0.175
2.051834139876118e-6,-3.782235010518775e-8,0.025
2.414512851326153e-6,3.2493453602677744e-7,0
2.141491722599012e-6,5.185275547991974e-8,0.09
2.0897935608058017e-6,1.4689632232833832e-10,0.035
1.7532386333103462e-6,-3.3631198462835686e-7,0
2.2566506461799405e-6,1.6702208455676716e-7,0.185
2.1688982520338463e-6,7.925527196972482e-8,0.035
2.341595486114038e-6,2.519975687981235e-7,0
2.4622164632000794e-6,3.726420892286031e-7,0
2.4289629398904983e-6,3.3934469845064987e-7,0.265
1.987673726749395e-6,-1.019702992677285e-7,0.105
2.391790012293432e-6,3.0218245289925785e-7,0
2.275031703672365e-6,1.8538492385977711e-7,0.015
1.923828796385238e-6,-1.658574037988192e-7,0
2.141539564654624e-6,5.1908218311469414e-8,0.26
2.0449260645387627e-6,-4.469809485652121e-8,0
2.022735231851025e-6,-6.687753035583555e-8,0
1.932811582187237e-6,-1.56855248016341e-7,0.015
2.526409529880742e-6,4.368232984763853e-7,0
2.3312388586576067e-6,2.416112191544473e-7,0.165
2.362851631577056e-6,2.732075601835637e-7,0.005
2.025670521385644e-6,-6.398833980458818e-8,0
2.0831030340542417e-6,-6.5413321737040066e-9,0.06
2.1770193136574493e-6,8.735512509461252e-8,0
2.4700485542472826e-6,3.804438135085464e-7,0
1.6283188123932183e-6,-4.6131245419911426e-7,0
2.229330487680164e-6,1.3970276709684982e-7,0.265
2.136867639026495e-6,4.724859833105111e-8,0
2.0523380830489534e-6,-3.731691239072799e-8,0.02
2.2101913326398562e-6,1.2054424098850714e-7,0.025
1.9435827165093966e-6,-1.4607772360397676e-7,0.025
2.4336232848204146e-6,3.4400627207886724e-7,0.365
2.1477758880046483e-6,5.811640547637165e-8,0.005
1.8740463358802909e-6,-2.1564502170390298e-7,0
1.9212198401718197e-6,-1.6835165160045128e-7,0
2.1589171304380154e-6,6.930709132157986e-8,0
2.1612566309117166e-6,7.159916424193113e-8,0
2.266989619067965e-6,1.7733467861380525e-7,0.02
1.9280139276982256e-6,-1.6161384500334996e-7,0
2.3520884995289354e-6,2.6247408664470393e-7,0
2.0201111638209294e-6,-6.952399290161004e-8,-0.65
2.3185818787827625e-6,2.289872113242497e-7,0
2.056067841596957e-6,-3.354471487027055e-8,0
2.011920824034783e-6,-7.774816676631158e-8,0.01
2.3116833595776063e-6,2.2209424403174527e-7,0
1.9446133128305433e-6,-1.4507240589711756e-7,0
2.3559443012245504e-6,2.663112035522497e-7,0.05
2.2676590463663326e-6,1.780349457791708e-7,-0.645
1.5716944674630332e-6,-5.179301986912854e-7,0
2.243225804778781e-6,1.535941794383877e-7,0.15
1.7504784099210564e-6,-3.391440232258791e-7,0
2.108922594100511e-6,1.9280164864077243e-8,0.075
2.2091423209582775e-6,1.195090060690518e-7,0.135
1.9111732723895467e-6,-1.7848739053138994e-07,0.01
2.252422679999774e-6,1.6281866203338158e-7,0
2.1020705424155644e-6,1.2428654950769058e-8,0.05
2.3123467163992646e-6,2.2274905291830294e-7,0
2.1422901956645934e-6,5.268613022135771e-8,0
2.0026329131498486e-6,-8.703090682238291e-8,0.005
2.2872485388264085e-6,1.9761944686114141e-7,0.17
1.863241760216449e-6,-2.2637735431429994e-7,0
2.0594130215816578e-6,-3.022559488141674e-8,0.13
2.1144783292929115e-6,2.4896869385560016e-8,0
2.175045574227609e-6,8.542340501183077e-8,0
2.221877059356373e-6,1.323084003101993e-7,0
2.1399908044531266e-6,5.040282945401042e-8,0
