MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.ADJ.R2.POSITIVE
2.2672610209665022e-6,1.7765478228071174e-7,0
1.8381001108135754e-6,-2.5153590434812134e-7,0
2.1479885653461217e-6,5.840957521041634e-8,0
2.132725719854417e-6,4.3028888020435476e-8,0
1.4414416187748501e-6,-6.482364958160236e-7,0.01
2.2687137257578896e-6,1.7907295891239627e-7,0.035
2.014154141723842e-6,-7.547765024595864e-8,0
1.917133504813337e-6,-1.72547309404969e-7,0
2.3096504634692415e-6,2.2000873148853017e-7,0.025
2.20517822285587e-6,1.1551870418347044e-7,0
2.1421538136508975e-6,5.2511857187020896e-8,0.065
2.3914921025056925e-6,3.0186808338161785e-7,0.15
1.8296547758013133e-6,-2.6000418609006813e-7,0.02
2.3271488946097445e-6,2.3747760571124488e-7,0
1.939950741214016e-6,-1.496504153092326e-7,0
2.17431536318589e-6,8.473233437389371e-8,0
2.113791147534481e-6,2.4140104209480208e-8,0.02
1.9766694985141932e-6,-1.1299167454514869e-7,0.005
1.955349263249452e-6,-1.3427027993284657e-7,0
1.9006568409328797e-6,-1.8904670013308866e-7,0
2.2179856764972176e-6,1.283491792380964e-7,0.07
2.303371878583476e-6,2.1373891354703466e-7,0.095
1.7829899041734786e-6,-3.066286871927781e-7,0
1.9041578177846156e-6,-1.854694578662386e-7,0
2.159204135448791e-6,6.960143594525459e-8,0
2.024769719254303e-6,-6.488898149581423e-8,0.01
1.924618446070789e-6,-1.6497736626042148e-7,0
2.3147333853567257e-6,2.2509540794413142e-7,0.025
1.987527477176897e-6,-1.0210015480183188e-7,0
2.0452575064876614e-6,-4.438977899035024e-8,0.02
2.2474546455175797e-6,1.5781619073396148e-7,0.045
2.338838389977984e-6,2.492199135234463e-7,-0.48
2.2701387145881565e-6,1.8048517470115044e-7,0.01
2.321585358381317e-6,2.319802479072708e-7,0
1.7171329438871938e-06,-3.7247970175458003e-7,0
2.2355452161114964e-6,1.4595205653000765e-7,0
1.975078546508771e-6,-1.1455093323675669e-7,0
2.329815583980592e-6,2.401897147824572e-7,0.17
2.054799683080932e-6,-3.481128241111797e-8,0
2.0919807710573495e-6,2.3018112149664207e-9,0
2.6233476740139628e-6,5.337186563486584e-7,0.02
2.335465640579474e-6,2.4585664741838543e-7,0
2.1030048881168143e-6,1.339706766412263e-8,0
1.9233663448184557e-6,-1.6624714006541196e-7,0
2.06070166306545e-6,-2.891485692713136e-8,0
2.436687418182332e-6,3.4705584474492566e-7,0.035
1.9700924412143366e-6,-1.1954465616970112e-7,-0.605
1.990931738112048e-6,-9.873758767597884e-8,0
2.275572885857856e-6,1.8591589947103416e-7,0.01
2.292270963206215e-6,2.0260934187055212e-7,0
2.076403954093156e-6,-1.3233149168123682e-8,0.205
1.96531202043429e-6,-1.2427009393134458e-7,0
2.3216840277232763e-6,2.320766612162739e-7,0
2.1627847044461677e-6,7.315614050429353e-8,-0.675
2.140459029378288e-6,5.078064494012935e-8,0
1.8686013542662384e-6,-2.2107808191673684e-7,0
2.1705610440953896e-6,8.095222144510749e-8,0
1.9276674110196468e-6,-1.6197061677269974e-7,-0.52
2.1347516552089816e-6,4.507688596999681e-8,0.005
1.632405389300093e-6,-4.5727469493550554e-7,0.01
2.3461758234431098e-6,2.565519891817303e-7,0.215
2.067201915000083e-6,-2.2411206597738876e-8,0
2.6631752192721857e-6,5.735703824244487e-7,-0.615
2.153526274513454e-6,6.386129298929788e-8,0
1.946802440796124e-6,-1.4283507375922877e-7,-0.445
2.0665392092688435e-6,-2.308748801582716e-8,0
2.0888278480309858e-6,-8.252401056951798e-10,0.01
2.0441578702469737e-6,-4.5425814733657256e-8,0
2.104695803615091e-6,1.5078145175762004e-8,0
2.3783216748484473e-6,2.8871822331910655e-7,0
2.1582340709010894e-6,6.858715210833477e-8,0.03
2.2990280889198682e-06,2.0938520552182817e-7,0.015
1.8313261208877352e-6,-2.5830033940632545e-7,0
2.066459861645179e-6,-2.317235226423353e-8,-0.585
2.3654260268745903e-6,2.758108244094171e-7,-0.12
2.0863433765309593e-6,-3.258912326109531e-9,0
1.9912118557229236e-6,-9.835214469733344e-8,0
2.1247494974068456e-6,3.5132855638053684e-8,0
2.2247910122992774e-6,1.3522468535032138e-7,0
2.550695213711139e-6,4.6109034706365293e-7,0
2.268819720397751e-6,1.7922613619103522e-7,0
1.9028891792008633e-6,-1.867714396053266e-7,0.025
1.9469734246601575e-6,-1.4264386744400338e-7,0
1.9456309904401162e-6,-1.4399643874174473e-7,0
1.7343060241451324e-6,-3.553385894561334e-7,0
1.969931191142056e-6,-1.1969338535311457e-7,0
1.9383332248424835e-6,-1.5127285771743272e-7,0
2.1996583654427826e-6,1.0999608247241888e-7,0
2.0915442679136686e-6,2.0082373292096277e-9,0
1.8607252897257054e-6,-2.2891476334385707e-7,-0.32
1.909893995138736e-6,-1.7976214060466677e-7,0.03
2.230490751097702e-6,1.408343353853647e-7,0.01
2.0953969609120955e-6,5.765517550049282e-9,-0.57
2.153954097202346e-6,6.43610687223184e-8,0
2.0289286005407854e-6,-6.073138053286354e-8,0.005
1.990669841744363e-6,-9.895094356893174e-8,0
1.7622542148878891e-6,-3.273715329332738e-7,0
1.9758425067294254e-6,-1.1382069986909382e-7,0.01
2.0584878612981884e-6,-3.113280021116438e-8,0
1.9702119480339575e-6,-1.1936574114079779e-7,0
