,gPC_1,gPC_2,gPC_3,gPC_4,gPC_5,gPC_6,gPC_7,gPC_8,gPC_9,gPC_10,gPC_11,gPC_12,gPC_13,gPC_14,gPC_15,gPC_16,gPC_17,gPC_18,gPC_19,gPC_20,gPC_21,gPC_22,gPC_23,gPC_24,gPC_25,gPC_26,gPC_27,gPC_28,gPC_29,gPC_30,gPC_31,gPC_32,gPC_33,gPC_34,gPC_35,gPC_36,gPC_37,gPC_38,gPC_39,gPC_40
Apolipoprotein_B.all_ethnicities.both.static_med_corrected.IRNT,8.279809733175122e-12,-2.605998689176213e-12,3.826480452182271e-12,-1.4365052072699324e-12,3.1000545429193038e-12,1.6062539455163947e-12,8.183762323883825e-13,1.3762613630720576e-12,6.128005004239929e-13,7.404825643774666e-13,1.7803611340109077e-12,-2.14973722487828e-13,9.371767405396543e-13,-4.648952406039152e-13,1.0397614105762659e-13,-2.744947986239242e-13,-1.334032407790913e-12,3.280722887198145e-13,-6.383878232859023e-13,9.191197287233403e-13,6.891434845427238e-13,7.626134003397421e-14,-5.930375436534273e-13,-4.372406342954288e-13,-9.043373354082555e-13,-3.37690288703934e-13,-4.811639244926792e-13,8.548011442515598e-13,1.0443273878085473e-13,5.641041581867752e-13,1.279607670908431e-13,2.492285363547292e-13,-1.0196158720517868e-12,6.42831305143125e-13,2.498499303718008e-13,1.8220760451198705e-13,1.31535153235645e-13,6.594316594542776e-13,7.734606705072562e-13,8.399739332346436e-13
Apolipoprotein_B.all_ethnicities.both.dynamic_med_corrected.IRNT,2.1918317896755975e-12,-7.0225093053805e-13,2.502859635614514e-13,1.5832930130352417e-12,-9.214842749293882e-13,-3.160224254155043e-13,-1.5979869730186636e-13,1.8888910006846555e-13,-6.114303312172102e-13,-2.602378240671472e-13,-1.4562657883016685e-12,7.104488034827692e-13,-1.1706356025221342e-13,-5.1854718593893236e-14,6.313869084775998e-15,-1.753774072532048e-13,1.656388562730534e-12,-4.962430678681869e-13,5.764891708409966e-13,-7.087073136372003e-13,-3.1296945773542985e-13,-5.932724365291587e-13,1.9304479480094813e-14,4.888992336085706e-13,2.5409911798292678e-12,6.637429994897487e-13,6.935631283228964e-13,-8.145456716468976e-13,-2.612779814623278e-13,-1.1981803714775885e-12,6.930156210177795e-14,-9.658985036052066e-13,1.5705159582101605e-12,-8.969438849099514e-13,-1.1550635782730133e-13,-5.238754881249387e-13,-1.3175705776790394e-13,-1.2027585052460517e-12,-1.4533262823719581e-12,-1.222481731534051e-12
Apolipoprotein_B.all_ethnicities.both.original.with_med_correction.IRNT,-0.04983331975268049,-0.002317040764969263,0.01260404302644437,-0.00452849661654617,-0.008809535353675289,-0.0034933036765823367,0.0013265270903812082,-0.012569500371848381,0.003037973502298702,-0.003606324368971204,0.0016656780069076171,-0.002277398458075018,0.006072286737753818,0.01798017620746904,0.005209411106948532,0.005973927006421492,-0.01233772661342772,0.005801905181370448,0.004440329231058758,0.005410090824050772,0.0011810204971747368,0.0006529637289368973,1.5158963507810782e-05,0.003368983243869844,0.0047029334334082054,-0.0013632468037346143,0.00407843178762894,-0.0052348549573159025,0.0022191579165218066,-0.0008394695064916818,-0.002973292853457598,-0.00041841266663126723,0.0008064978805404362,-0.0009864023460008232,-0.00047734409154213524,-0.0009381510085092303,-0.004318955848367817,-0.00044836970859874983,-0.0020753951537575864,-0.00031141122321234123
Apolipoprotein_B.all_ethnicities.both.original.IRNT,-0.0456968950902989,0.005092799981286182,-0.004473827941191603,-0.006622014029827803,-0.006726493813128668,0.00458987309712933,0.00158045505375287,-0.0036956445031020523,-9.964736865777392e-05,-0.007446110079638306,-0.006742394471268367,0.0022870043675591095,0.002081630832859377,0.011543693097971992,0.0026623723838366475,0.006921982940509557,-0.008750068402260286,0.003210212379138992,0.0049414288509964524,0.0007869514401919738,-0.0007939549983745513,0.0007392982747876433,0.0022339675170040237,0.0025596545830745545,0.002375870624465451,-0.0022446778022092006,0.004279896364061034,-0.005003445935875219,0.0030520981888928216,-5.805342373276085e-05,-0.002945011144656534,-0.0005723021260266233,-0.0005318598331799655,-0.0012133014389569317,-0.0005274612826662439,-0.0005090317624553095,-0.0025472261021470374,-0.0004128264791660317,-0.0024395079757204186,-0.0001230757661632383
Leg_predicted_mass_right.all_ethnicities.both.static_med_corrected.IRNT,-1.814976998701841e-12,-2.004763303810973e-13,-1.3979553091942355e-11,-9.638418688007935e-12,1.4936897785034414e-12,5.74541176211829e-12,4.933512547331389e-12,3.5412232020893233e-12,2.127600289032623e-12,5.7381418167186186e-12,2.9403179927867296e-12,2.1962228443745047e-12,9.624287111116634e-13,-1.1884407522657818e-12,1.1215190675082308e-12,-1.505121729126535e-12,-9.306791197783569e-13,-2.607121722684028e-13,-1.5060187863615976e-14,-7.178078330690937e-13,7.627259760819678e-14,7.039496661528185e-13,-5.3938483223197714e-14,-8.367476327680146e-13,-2.1781355511075003e-14,-2.5537764012712524e-13,-4.771833455894929e-13,6.299848603324186e-13,-2.8588267431172496e-13,-1.708834200456545e-14,2.754245208925701e-13,-6.993982769314031e-13,-4.923304441354717e-13,-5.197248233437783e-13,-9.175661484733243e-15,-5.092843965753975e-13,-2.447960585551233e-13,-1.8308902424891276e-13,1.1374929875550868e-13,1.8910785942847466e-13
Leg_predicted_mass_right.all_ethnicities.both.dynamic_med_corrected.IRNT,3.382728627298056e-11,-1.1403281881416908e-11,4.5077523122520874e-11,8.062789648814243e-12,-9.812269174952849e-12,-3.963882090426855e-12,-2.3602429790382515e-12,-3.003210110481017e-12,-1.8265499874256306e-12,-1.3055136608732125e-12,-1.419570596914483e-12,5.019066510536324e-14,-2.0802083884837734e-12,3.653450408744913e-12,-2.7629976422071974e-12,2.965017566511924e-13,7.310430637440052e-13,-3.530688842948349e-13,-8.356994892463994e-13,2.50912253281278e-12,1.4588354934291186e-12,-1.1897629762691748e-12,-5.142179626108017e-13,1.3575405065295093e-12,1.1685037944349432e-12,-1.0875703791082002e-12,-7.960234469948574e-13,-7.530271146440336e-13,1.3829322397401454e-12,-7.721023236767283e-13,-7.573745525321294e-14,-1.118129762558751e-12,1.2561873005095101e-12,8.75908603816256e-13,7.284447354195656e-13,7.259338475267608e-13,-9.858736742017369e-14,2.5655671628885342e-14,-5.149870670845975e-13,4.918432800537606e-13
Leg_predicted_mass_right.all_ethnicities.both.original.with_med_correction.IRNT,-0.0018448924002203567,0.06905305307464035,-0.0018562057527433905,-0.005537725599298182,-0.030307393053271105,0.0016618257496789262,0.006421856935064535,0.016598406632439392,-0.001749151593312167,0.01066005873463247,-0.009473208743790726,0.010594946142823095,-0.007028088825659073,-0.014847712913803117,0.0021277657954709263,-0.014027012377111741,-0.007243554590322006,-0.0013625454786951859,0.00023929032457074533,0.002299971723547301,0.0016694018304145273,-0.0018736825322875346,0.002379852226938272,0.0029870658113264354,5.299274328718994e-05,-0.0005305503191179352,-0.0007859562607615893,0.0016064785957676504,0.002603934226707048,-0.0015651955130920648,-0.003091793177542557,-0.003765472619891834,0.004079840441385814,-0.003952696765805566,0.0019051352443298572,0.00406654536955842,-0.002777497163823419,0.00210459655038926,-0.00393446655190165,0.001662983978059766
Leg_predicted_mass_right.all_ethnicities.both.original.IRNT,0.00019617843933638683,0.06904477101738483,-0.0013898450520590671,-0.005095388125885997,-0.030505655366425855,0.001291470767484914,0.006173995264750236,0.016349048449007315,-0.0017314308093030581,0.010992120279809227,-0.009133554752396546,0.010154515606425036,-0.0067247315397075975,-0.014755025359157249,0.0024212850101391872,-0.014128378311586833,-0.007258978935460414,-0.001400430281312799,0.00011560701127186592,0.0026131889730817005,0.0018791651027454585,-0.0019838539978719845,0.0022288794156567677,0.003033946643988228,7.805577051699324e-05,-0.00048317679560962537,-0.0008062507780503889,0.0014914809669661288,0.002606395446512668,-0.00168446922105939,-0.003027464318303729,-0.0037672569976616908,0.004141073068962103,-0.003972506396709041,0.002032228587256337,0.003955548799561493,-0.002918598761115015,0.0019642933674913527,-0.003934755988690735,0.0017358507694585172
Eosinophill_count.all_ethnicities.both.static_med_corrected.IRNT,7.255923667615147e-12,-2.860381378489112e-12,1.4273682638944873e-11,-1.126449468857967e-11,-5.312785520410446e-12,7.739002751103483e-12,7.43484991250585e-12,6.046758191476781e-12,3.5703023433411492e-12,6.011595055528365e-12,9.020683778301706e-12,3.1192458570025262e-12,4.643687552995018e-14,-8.762453321490389e-13,1.413115813048534e-12,3.198570621994047e-13,-2.0552815662838175e-12,-2.0351291640275344e-12,-1.4983763197583403e-12,-7.037305545873579e-14,4.021565144496279e-13,7.567303709729945e-14,-8.251259613106948e-13,-1.208526157333438e-12,8.087359600726783e-13,6.536374835705786e-13,7.099250449629833e-14,2.1347710788473746e-12,-9.742057323607787e-13,7.672929893358468e-14,-1.846143448033815e-13,-3.9296427438363495e-13,-1.2459248702333483e-12,1.330505814005105e-13,5.543720019676749e-13,-3.9921784811457135e-13,5.275415399884642e-13,-4.549334418750194e-13,6.19121034912176e-13,1.769467537484443e-13
Eosinophill_count.all_ethnicities.both.dynamic_med_corrected.IRNT,1.048292258468682e-11,-4.042268095616446e-12,3.4004617089677704e-12,-1.7784873311741594e-13,7.821954031837862e-12,-3.9864966380077844e-14,-1.8364101590932493e-12,-1.2656566872937204e-12,2.275876423389886e-12,-1.0150668468803518e-12,6.804918684126656e-12,-5.928554492581986e-12,-2.617588871907414e-13,-4.355911148088875e-13,-9.932726037551824e-13,7.671100205229799e-13,-2.974824812444185e-13,1.535387064743639e-12,-9.011299271380371e-13,2.306118651488125e-12,9.413815653689902e-13,-1.7118684735031658e-12,-6.680800616847129e-13,8.070248988218411e-13,1.5522050929483023e-12,6.731653358994478e-13,7.300773662399776e-13,1.2537448977772317e-12,1.2197689905551388e-13,7.871480950324065e-13,3.353797712499986e-13,1.3914101734099587e-12,1.3322834148093711e-12,-1.5555241889051972e-13,-1.1383150910239135e-13,1.7543084892259377e-13,1.658474185915649e-13,9.06454251272578e-13,3.5186568119128136e-13,-4.3546980223899096e-13
