PHENOTYPE,PC1_COS_SIM,PC1_ABS_COS_SIM,PC1_PEARSON,PC1_ABS_PEARSON,RANK_PC1_COS_SIM,RANK_PC1_PEARSON,EVEN_COS_SIM,EVEN_PEARSON,VAR_PP_CORS,MAX_ABS_PP_CORS,MEAN_ABS_PP_CORS,VAR_BETAS,MAX_ABS_BETAS,MEAN_ABS_BETAS,MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.R2.NO.INTERCEPT,MEAN.DELTA.ADJ.R2.NO.INTERCEPT,MEAN.DELTA.ADJ.R2.POSITIVE,MEAN.DELTA.ADJ.R2.NO.INTERCEPT.POSITIVE
Age_at_first_live_birth.all_ethnicities.both.2nd_visit.original.RAW,-0.22501614997504885,0.22501614997504885,-0.02752306469809937,0.02752306469809937,37,32,2.9599590603113004,3.2113479278116803,0.01223861163700146,0.301433738417728,0.08906383053234618,9.778624137355139e-8,4.5241542245749e-4,2.9627672134286087e-4,1.4875864475914077e-4,1.1964233722489004e-5,0.00208301560082924,0.00192357864646053,0,0
Age_at_first_live_birth.all_ethnicities.both.dynamic_med_corrected.IRNT,5.569112759953981e-13,5.569112759953981e-13,1.109874390616904e-12,1.109874390616904e-12,11,19,2.644624848943348,2.6232905611628548,0.01025610853475931,0.334520358877071,0.08478389507570532,1.234016819434421e-7,4.9760006231131e-4,3.3345505896763885e-4,7.958171191953441e-6,2.3742289812400712e-6,7.407708497403402e-6,-1.2102911746921058e-4,0,0
Age_at_first_live_birth.all_ethnicities.both.dynamic_med_corrected.RAW,-1.7000169492913647e-11,1.7000169492913647e-11,-1.9084753282062024e-11,1.9084753282062024e-11,35,36,2.673656760368986,2.6810299732368534,0.01056241774070511,0.293452661031076,0.08540010519828085,1.233801409756178e-7,4.9763791153297e-4,3.33425655691279e-4,7.742028937674829e-6,2.158057652714717e-6,7.183587320580971e-6,-1.2125326764357972e-4,0,0
Age_at_first_live_birth.all_ethnicities.both.original.IRNT,-0.07408449091123775,0.07408449091123775,-0.07410398077030937,0.07410398077030937,40,40,3.209583392142283,3.2095021584009165,0.00986409811143659,0.299183586459649,0.08235860733926409,1.2340991943898093e-7,4.9791676602478e-4,3.334746160449038e-4,1.0362550940140602e-5,5.045329739952753e-6,0.0034075882551568,0.00328164278250474,0,0
Age_at_first_live_birth.all_ethnicities.both.original.RAW,-0.03734745135039447,0.03734745135039447,-0.07923204802457179,0.07923204802457179,40,40,3.2063003347425045,3.187043693586582,0.00928452871162313,0.276630922223573,0.08079745143403666,1.055386347493069e-7,4.5976813619656e-4,3.08376077203463e-4,9.828869997043075e-6,4.530049947146231e-6,0.00291955821271916,0.00291217543514776,0,0
Age_at_first_live_birth.all_ethnicities.both.original.with_med_correction.IRNT,-0.0749166206898691,0.0749166206898691,-0.07493632946239902,0.07493632946239902,40,40,3.2064041893778756,3.206322863886219,0.0090152089312788,0.299899228521175,0.07934239557081525,1.2340928101008438e-7,4.9756521091817e-4,3.334641459860765e-4,1.0253683915238676e-5,4.934899816330662e-6,0.0033716107170954,0.0032456699079959,0,0
Age_at_first_live_birth.all_ethnicities.both.original.with_med_correction.RAW,-0.0373326117829291,0.0373326117829291,-0.07941396066087104,0.07941396066087104,40,40,3.205764590497554,3.1832210030200585,0.00873901185717352,0.292530476336519,0.07830204565969999,1.1698498834997909e-7,4.8425747399272e-4,3.2467499069483075e-4,9.792279652184877e-6,4.491167338020741e-6,0.00290933624704414,0.00290199212560104,0,0
Age_at_first_live_birth.all_ethnicities.both.static_med_corrected.IRNT,5.217414788519173e-11,5.217414788519173e-11,5.1972750620163064e-11,5.1972750620163064e-11,39,39,2.762066132854062,2.7594960139330005,0.00969833465749644,0.333969669036665,0.08349663895868387,1.2340799861103838e-7,4.9817263459578e-4,3.334724071544499e-4,7.831566088023984e-6,2.2476078145350386e-6,7.292429080879491e-6,-1.2114441209616523e-4,0,0
Age_at_first_live_birth.all_ethnicities.both.static_med_corrected.RAW,1.276826012441942e-10,1.276826012441942e-10,1.2705030404129328e-10,1.2705030404129328e-10,39,39,2.7507329425094316,2.7474516893019074,0.01000257239275404,0.297897574429433,0.08415551127745366,1.2340261931580724e-7,4.9814486458831e-4,3.334752674787869e-4,7.601123110591668e-6,2.017134015427368e-6,7.061299146573239e-6,-1.213755717927168e-4,0,0
Age_at_last_live_birth.all_ethnicities.both.2nd_visit.original.RAW,-0.2184896078888188,0.2184896078888188,0.01568241894559323,0.01568241894559323,37,24,2.958137297941124,3.2264087202318663,0.010438212969298701,0.286081693692451,0.08275515522944463,1.1689514753598453e-07,4.9375223379801e-4,3.2406478148140947e-4,1.3888183649053698e-4,-1.0094453508288637e-6,0.00181343051766658,0.0016731500080982,0,0
